timestamp,hand,angle
3,Left,20
20,Left,20
39,Left,20
57,Left,20
76,Left,20
94,Left,20
116,Left,20
130,Left,20
149,Left,20
166,Left,20
184,Left,20
203,Left,20
219,Left,20
237,Left,20
256,Left,20
273,Left,20
293,Left,20
310,Left,20
328,Left,20
346,Left,20
365,Left,20
382,Left,20
401,Left,20
419,Left,20
436,Left,20
455,Left,20
472,Left,20
491,Left,20
510,Left,20
528,Left,20
548,Left,20
566,Left,20
585,Left,20
602,Left,20
620,Left,20
638,Left,20
657,Left,20
672,Left,20
690,Left,20
709,Left,20
727,Left,20
745,Left,20
762,Left,20
780,Left,20
798,Left,20
816,Left,20
834,Left,20
852,Left,20
871,Left,20
891,Left,20
910,Left,20
928,Left,20
945,Left,20
964,Left,20
981,Left,20
999,Left,20
1019,Left,20
1034,Left,20
1053,Left,20
1069,Left,20
1087,Left,20
1105,Left,20
1123,Left,20
1142,Left,20
1160,Left,20
1178,Left,20
1196,Left,20
1214,Left,20
1232,Left,20
1250,Left,20
1267,Left,20
1286,Left,20
1306,Left,20
1323,Left,20
1340,Left,20
1359,Left,20
1378,Left,20
1395,Left,20
1414,Left,20
1434,Left,20
1452,Left,20
1469,Left,20
1485,Left,20
1503,Left,25
1521,Left,25
1542,Left,25
1561,Left,25
1614,Left,25
1633,Left,25
1651,Left,25
1669,Left,25
1685,Left,25
1702,Left,25
1720,Left,25
1739,Left,25
1757,Left,25
1779,Left,25
1798,Left,25
1816,Left,25
1833,Left,25
1849,Left,25
1866,Left,25
1883,Left,25
1901,Left,25
1919,Left,25
1937,Left,25
1955,Left,25
1973,Left,25
1995,Left,30
2013,Left,30
2032,Left,30
2050,Left,30
2069,Left,30
2082,Left,30
2100,Left,30
2119,Left,35
2136,Left,35
2153,Left,35
2171,Left,35
2189,Left,35
2210,Left,35
2230,Left,35
2249,Left,35
2266,Left,35
2283,Left,35
2300,Left,35
2318,Left,35
2336,Left,35
2353,Left,35
2373,Left,35
2390,Left,40
2410,Left,40
2429,Left,40
2448,Left,40
2466,Left,40
2485,Left,40
2498,Left,40
2515,Left,40
2533,Left,40
2551,Left,40
2569,Left,45
2587,Left,45
2605,Left,45
2624,Left,45
2641,Left,45
2661,Left,45
2679,Left,45
2697,Left,45
2714,Left,45
2733,Left,45
2751,Left,45
2769,Left,45
2788,Left,45
2809,Left,45
2827,Left,45
2845,Left,45
2863,Left,45
2884,Left,45
2896,Left,45
2914,Left,45
2932,Left,45
2950,Left,45
2968,Left,45
2986,Left,45
3004,Left,45
3023,Left,45
3040,Left,45
3059,Left,45
3077,Left,45
3095,Left,45
3113,Left,45
3131,Left,45
3149,Left,45
3167,Left,45
3184,Left,45
3202,Left,50
3220,Left,50
3238,Left,50
3258,Left,50
3278,Left,50
3294,Left,50
3313,Left,55
3331,Left,55
3348,Left,55
3367,Left,55
3385,Left,55
3402,Left,55
3421,Left,55
3439,Left,55
3457,Left,55
3476,Left,55
3494,Left,55
3513,Left,55
3530,Left,55
3548,Left,55
3566,Left,55
3582,Left,55
3600,Left,55
3618,Left,55
3636,Left,55
3654,Left,55
3672,Left,55
3690,Left,55
3710,Left,55
3729,Left,55
3746,Left,55
3764,Left,55
3782,Left,55
3801,Left,55
3819,Left,55
3836,Left,55
3855,Left,55
3873,Left,55
3891,Left,55
3909,Left,55
3928,Left,55
3944,Left,55
3962,Left,55
3979,Left,55
3999,Left,55
4018,Left,55
4036,Left,55
4054,Left,55
4072,Left,55
4091,Left,55
4109,Left,55
4127,Left,55
4144,Left,55
4160,Left,55
4179,Left,55
4197,Left,55
4215,Left,55
4233,Left,55
4251,Left,55
4269,Left,55
4287,Left,50
4305,Left,50
4323,Left,50
4342,Left,50
4361,Left,50
4378,Left,50
4395,Left,50
4415,Left,50
4435,Left,50
4450,Left,50
4469,Left,50
4485,Left,50
4503,Left,50
4522,Left,50
4540,Left,50
4559,Left,50
4576,Left,50
4594,Left,50
4612,Left,50
4630,Left,50
4648,Left,50
4666,Left,50
4684,Left,50
4702,Left,50
4720,Left,50
4738,Left,50
4757,Left,50
4778,Left,45
4795,Left,45
4812,Left,45
4830,Left,45
4847,Left,45
4869,Left,40
4887,Left,40
4905,Left,40
4923,Left,40
4941,Left,40
4958,Left,40
4976,Left,40
4993,Left,40
5010,Left,40
5028,Left,40
5045,Left,40
5064,Left,40
5085,Left,40
5103,Left,40
5121,Left,40
5137,Left,40
5154,Left,40
5172,Left,40
5191,Left,35
5210,Left,35
5227,Left,35
5246,Left,35
5264,Left,35
5282,Left,35
5300,Left,30
5317,Left,30
5336,Left,30
5354,Left,30
5372,Left,30
5390,Left,30
5408,Left,30
5427,Left,30
5445,Left,30
5464,Left,30
5483,Left,25
5500,Left,25
5518,Left,25
5536,Left,25
5554,Left,25
5571,Left,20
5588,Left,20
5607,Left,20
5624,Left,20
5643,Left,20
5663,Left,20
5681,Left,15
5698,Left,15
5717,Left,15
5735,Left,15
5753,Left,15
5769,Left,15
5787,Left,15
5806,Left,15
5824,Left,20
5843,Left,20
5862,Left,20
5879,Left,20
5899,Left,20
5916,Left,20
5934,Left,20
5952,Left,20
5970,Left,20
5988,Left,20
6006,Left,20
6024,Left,20
6042,Left,20
6060,Left,20
6078,Left,20
6096,Left,20
6114,Left,20
6133,Left,25
6150,Left,20
6169,Left,25
6188,Left,20
6205,Left,20
6221,Left,20
6238,Left,20
6259,Left,20
6278,Left,20
6296,Left,20
6314,Left,20
6333,Left,20
6352,Left,20
6366,Left,20
6384,Left,25
6402,Left,25
6420,Left,25
6438,Left,25
6458,Left,25
6478,Left,25
6496,Left,25
6513,Left,25
6531,Left,25
6547,Left,25
6565,Left,25
6583,Left,25
6601,Left,25
6619,Left,25
6638,Left,25
6656,Left,25
6673,Left,25
6691,Left,25
6711,Left,25
6727,Left,25
6745,Left,25
