timestamp,hand,angle
11,Left,5
30,Left,5
48,Left,5
66,Left,5
84,Left,5
102,Left,5
121,Left,0
139,Left,0
157,Left,0
174,Left,0
192,Left,0
212,Left,0
231,Left,0
249,Left,0
266,Left,0
284,Left,0
304,Left,0
322,Left,0
339,Left,0
355,Left,0
374,Left,0
392,Left,0
410,Left,0
428,Left,0
447,Left,0
464,Left,0
482,Left,0
500,Left,0
518,Left,0
537,Left,0
555,Left,0
573,Left,0
591,Left,0
608,Left,0
627,Left,0
645,Left,0
664,Left,0
681,Left,0
699,Left,0
717,Left,0
735,Left,0
753,Left,0
771,Left,0
791,Left,0
809,Left,0
826,Left,0
843,Left,0
861,Left,0
883,Left,0
901,Left,0
919,Left,0
937,Left,0
956,Left,0
971,Left,0
988,Left,0
1007,Left,0
1024,Left,0
1046,Left,0
1062,Left,0
1079,Left,0
1097,Left,0
1115,Left,0
1133,Left,5
1153,Left,5
1172,Left,5
1189,Left,5
1207,Left,5
1226,Left,5
1242,Left,5
1260,Left,5
1278,Left,5
1295,Left,5
1314,Left,5
1332,Left,5
1350,Left,5
1368,Left,5
1386,Left,0
1404,Left,0
1425,Left,0
1444,Left,0
1463,Left,5
1480,Left,5
1498,Left,5
1516,Left,5
1534,Left,10
1552,Left,10
1572,Left,10
1589,Left,10
1604,Left,10
1631,Left,10
1660,Left,15
1664,Left,15
1690,Left,15
1694,Left,15
1728,Left,15
1732,Left,15
1759,Left,15
1777,Left,15
1807,Left,15
1812,Left,15
1844,Left,15
1848,Left,15
1874,Left,15
1876,Left,20
1894,Left,20
1924,Left,20
1943,Left,20
1946,Left,20
1976,Left,20
1994,Left,20
2023,Left,20
2026,Left,20
2044,Left,20
2063,Left,20
2078,Left,20
2108,Left,25
2112,Left,25
2144,Left,25
2148,Left,25
2173,Left,25
2195,Left,25
2200,Left,25
2217,Left,25
2235,Left,30
2253,Left,30
2271,Left,30
2294,Left,30
2311,Left,30
2327,Left,30
2344,Left,30
2362,Left,30
2382,Left,30
2400,Left,30
2418,Left,30
2435,Left,30
2453,Left,30
2471,Left,30
2509,Left,30
2527,Left,30
2555,Left,25
2581,Left,35
2599,Left,35
2618,Left,35
2636,Left,35
2654,Left,35
2672,Left,35
2689,Left,35
2708,Left,35
2727,Left,35
2745,Left,35
2762,Left,35
2780,Left,30
2799,Left,30
2817,Left,30
2836,Left,30
2854,Left,30
2869,Left,30
2886,Left,30
2904,Left,30
2927,Left,30
2945,Left,30
2964,Left,30
2978,Left,30
2996,Left,30
3014,Left,30
3031,Left,35
3050,Left,35
3068,Left,35
3086,Left,35
3104,Left,35
3122,Left,35
3140,Left,35
3158,Left,35
3178,Left,35
3194,Left,35
3212,Left,35
3230,Left,35
3247,Left,35
3266,Left,35
3284,Left,35
3302,Left,35
3320,Left,35
3339,Left,35
3358,Left,35
3376,Left,35
3394,Left,35
3413,Left,35
3430,Left,35
3447,Left,35
3465,Left,35
3483,Left,35
3501,Left,35
3520,Left,35
3539,Left,35
3557,Left,35
3575,Left,35
3593,Left,35
3612,Left,35
3629,Left,35
3648,Left,35
3666,Left,35
3684,Left,35
3703,Left,35
3720,Left,35
3738,Left,35
3756,Left,35
3775,Left,35
3793,Left,35
3810,Left,35
3828,Left,35
3846,Left,35
3864,Left,35
3882,Left,35
3901,Left,35
3919,Left,35
3937,Left,35
3955,Left,35
3973,Left,35
3992,Left,35
4009,Left,35
4027,Left,35
4045,Left,35
4063,Left,35
4081,Left,30
4099,Left,30
4118,Left,30
4136,Left,30
4153,Left,30
4172,Left,30
4190,Left,30
4207,Left,30
4226,Left,30
4243,Left,30
4260,Left,30
4278,Left,30
4296,Left,30
4314,Left,25
4333,Left,25
4351,Left,25
4369,Left,25
4388,Left,25
4407,Left,25
4425,Left,25
4443,Left,25
4462,Left,25
4479,Left,25
4498,Left,25
4514,Left,20
4531,Left,20
4550,Left,20
4569,Left,20
4589,Left,20
4604,Left,15
4622,Left,15
4641,Left,15
4664,Left,15
4684,Left,15
4697,Left,10
4715,Left,10
4730,Left,10
4748,Left,10
4766,Left,10
4785,Left,10
4803,Left,10
4821,Left,10
4838,Left,10
4857,Left,10
4875,Left,10
4893,Left,10
4912,Left,10
4930,Left,10
4947,Left,10
4965,Left,10
4983,Left,10
5002,Left,10
5020,Left,10
5038,Left,5
5056,Left,5
5074,Left,5
5095,Left,5
5114,Left,5
5135,Left,5
5147,Left,5
5165,Left,5
5183,Left,5
5200,Left,5
5219,Left,5
5237,Left,5
5255,Left,5
5274,Left,5
5291,Left,5
5309,Left,5
5326,Left,5
5344,Left,5
5362,Left,5
5380,Left,5
5399,Left,5
5417,Left,5
5435,Left,5
5453,Left,5
5472,Left,5
5490,Left,5
5508,Left,5
5526,Left,5
5546,Left,5
5563,Left,10
5581,Left,10
5600,Left,10
5618,Left,10
5636,Left,10
5655,Left,10
5672,Left,10
5690,Left,10
5707,Left,15
5725,Left,15
5745,Left,15
5763,Left,20
5780,Left,20
5799,Left,20
5816,Left,20
5834,Left,20
5853,Left,20
5871,Left,20
5889,Left,25
5907,Left,25
5925,Left,25
5943,Left,25
5961,Left,30
5978,Left,30
5996,Left,30
6017,Left,30
6035,Left,30
6051,Left,30
6070,Left,30
6088,Left,30
6106,Left,30
6123,Left,35
6142,Left,35
6159,Left,35
6178,Left,35
6194,Left,35
6212,Left,35
6231,Left,35
6250,Left,35
6268,Left,35
6286,Left,35
6305,Left,35
6324,Left,35
6342,Left,30
6361,Left,30
6376,Left,30
6393,Left,30
6411,Left,30
6430,Left,30
6447,Left,30
6529,Left,25
6544,Left,30
6559,Left,30
6594,Left,30
6610,Left,30
6628,Left,30
6647,Left,30
6664,Left,30
6683,Left,30
6700,Left,35
6719,Left,35
6737,Left,35
