timestamp,hand,angle
0,Left,0
15,Left,0
33,Left,0
50,Left,0
68,Left,0
90,Left,0
109,Left,5
128,Left,5
145,Left,5
163,Left,5
181,Left,5
199,Left,5
217,Left,5
236,Left,5
250,Left,5
268,Left,5
285,Left,5
307,Left,5
324,Left,5
340,Left,5
358,Left,5
376,Left,5
393,Left,5
412,Left,5
433,Left,0
450,Left,0
468,Left,0
485,Left,0
503,Left,0
521,Left,0
542,Left,0
560,Left,0
579,Left,0
597,Left,0
615,Left,0
633,Left,5
650,Left,5
666,Left,5
684,Left,5
702,Left,5
720,Left,5
739,Left,5
756,Left,5
774,Left,5
792,Left,5
813,Left,5
830,Left,10
847,Left,10
865,Left,10
882,Left,10
900,Left,10
918,Left,10
936,Left,10
956,Left,10
975,Left,10
992,Left,10
1011,Left,10
1029,Left,10
1048,Left,10
1066,Left,15
1082,Left,15
1099,Left,15
1117,Left,15
1135,Left,15
1153,Left,15
1173,Left,15
1191,Left,15
1209,Left,15
1228,Left,15
1246,Left,15
1264,Left,15
1283,Left,15
1299,Left,20
1316,Left,20
1333,Left,20
1354,Left,20
1372,Left,20
1390,Left,20
1406,Left,20
1425,Left,20
1443,Left,25
1461,Left,25
1481,Left,25
1499,Left,25
1517,Left,25
1535,Left,25
1553,Left,25
1570,Left,25
1588,Left,25
1607,Left,25
1625,Left,25
1644,Left,25
1662,Left,25
1680,Left,25
1698,Left,30
1714,Left,30
1733,Left,30
1754,Left,30
1771,Left,30
1790,Left,30
1807,Left,30
1825,Left,30
1843,Left,30
1897,Left,30
1901,Left,30
1904,Left,30
1933,Left,30
1937,Left,30
1975,Left,30
1979,Left,30
2001,Left,30
2006,Left,30
2041,Left,30
2046,Left,30
2068,Left,30
2098,Left,30
2103,Left,30
2134,Left,30
2137,Left,30
2165,Left,30
2168,Left,30
2184,Left,30
2204,Left,30
2221,Left,30
2239,Left,30
2257,Left,30
2275,Left,30
2292,Left,30
2310,Left,30
2329,Left,30
2346,Left,30
2365,Left,30
2386,Left,30
2404,Left,30
2422,Left,30
2441,Left,30
2457,Left,30
2473,Left,30
2491,Left,30
2509,Left,30
2528,Left,30
2548,Left,30
2566,Left,30
2582,Left,30
2600,Left,30
2618,Left,30
2636,Left,30
2655,Left,30
2673,Left,30
2691,Left,30
2710,Left,30
2726,Left,30
2745,Left,30
2763,Left,30
2782,Left,30
2799,Left,30
2817,Left,30
2835,Left,30
2853,Left,30
2871,Left,25
2889,Left,25
2907,Left,25
2925,Left,25
2944,Left,25
2961,Left,25
2980,Left,25
2999,Left,25
3016,Left,25
3034,Left,25
3052,Left,20
3070,Left,20
3088,Left,20
3106,Left,20
3124,Left,20
3142,Left,20
3161,Left,20
3182,Left,20
3204,Left,15
3215,Left,15
3233,Left,15
3250,Left,15
3268,Left,15
3286,Left,15
3306,Left,15
3324,Left,15
3343,Left,15
3360,Left,15
3377,Left,15
3395,Left,10
3413,Left,10
3434,Left,10
3453,Left,10
3471,Left,10
3489,Left,10
3506,Left,5
3522,Left,5
3539,Left,5
3558,Left,5
3576,Left,5
3595,Left,5
3612,Left,5
3631,Left,5
3649,Left,5
3667,Left,5
3685,Left,5
3704,Left,5
3721,Left,10
3740,Left,10
3758,Left,10
3775,Left,10
3792,Left,10
3812,Left,10
3830,Left,10
3848,Left,15
3866,Left,15
3884,Left,15
3902,Left,15
3920,Left,15
3938,Left,15
3957,Left,15
3974,Left,15
3992,Left,15
4009,Left,15
4028,Left,15
4050,Left,15
4068,Left,15
4084,Left,15
4101,Left,15
4119,Left,15
4138,Left,15
4156,Left,15
4175,Left,15
4192,Left,15
4209,Left,15
4227,Left,15
4245,Left,20
4265,Left,20
4283,Left,20
4299,Left,20
4317,Left,20
4334,Left,20
4353,Left,25
4370,Left,25
4388,Left,25
4407,Left,25
4425,Left,30
4443,Left,30
4461,Left,30
4482,Left,30
4500,Left,30
4518,Left,30
4536,Left,35
4554,Left,35
4571,Left,35
4588,Left,35
4606,Left,40
4624,Left,40
4642,Left,40
4660,Left,40
4680,Left,40
4698,Left,45
4717,Left,45
4736,Left,45
4752,Left,45
4770,Left,45
4790,Left,45
4809,Left,45
4825,Left,45
4843,Left,45
4861,Left,45
4879,Left,45
4897,Left,45
4916,Left,45
4933,Left,45
4952,Left,45
4969,Left,45
4987,Left,45
5007,Left,45
5024,Left,45
5040,Left,45
5058,Left,45
5077,Left,45
5095,Left,45
5116,Left,45
5134,Left,45
5152,Left,45
5170,Left,45
5188,Left,45
5207,Left,45
5225,Left,45
5243,Left,45
5258,Left,45
5277,Left,45
5294,Left,45
5313,Left,45
5331,Left,45
5347,Left,45
5366,Left,45
5383,Left,45
5401,Left,45
5419,Left,45
5438,Left,45
5456,Left,45
5473,Left,45
5491,Left,45
5509,Left,45
5539,Left,35
5566,Left,40
5584,Left,35
5601,Left,35
5618,Left,35
5636,Left,40
5654,Left,40
5673,Left,40
5690,Left,40
5708,Left,40
5727,Left,40
5745,Left,40
5763,Left,40
5781,Left,40
5799,Left,40
5817,Left,40
5835,Left,40
5853,Left,40
5871,Left,40
5890,Left,40
5907,Left,35
5926,Left,35
5943,Left,35
5961,Left,35
5980,Left,35
6002,Left,35
6019,Left,30
6036,Left,30
6053,Left,30
6071,Left,30
6089,Left,30
6108,Left,30
6126,Left,30
6143,Left,30
6162,Left,30
6180,Left,30
6198,Left,25
6216,Left,25
6234,Left,25
6253,Left,25
6270,Left,25
6288,Left,25
6306,Left,25
6324,Left,20
6343,Left,20
6361,Left,20
6379,Left,20
6395,Left,20
6414,Left,20
6432,Left,20
6451,Left,20
6469,Left,20
6487,Left,15
6505,Left,15
6523,Left,15
6543,Left,15
6562,Left,15
6579,Left,15
6597,Left,15
6616,Left,15
6634,Left,15
6652,Left,15
6669,Left,15
6685,Left,15
6703,Left,15
6721,Left,15
6739,Left,15
6759,Left,15
6777,Left,10
6795,Left,10
6813,Left,10
6832,Left,10
6849,Left,10
6869,Left,10
6886,Left,15
6902,Left,15
6920,Left,15
6938,Left,15
6958,Left,15
6977,Left,15
6995,Left,10
7013,Left,10
