timestamp,hand,angle
1,Left,20
16,Left,20
35,Left,20
53,Left,20
71,Left,20
91,Left,20
109,Left,20
127,Left,20
145,Left,20
161,Left,20
182,Left,20
202,Left,20
219,Left,20
237,Left,20
256,Left,20
273,Left,20
291,Left,20
310,Left,20
326,Left,20
344,Left,20
363,Left,20
381,Left,20
399,Left,20
417,Left,20
435,Left,20
453,Left,20
472,Left,20
488,Left,20
506,Left,20
523,Left,20
541,Left,20
560,Left,20
577,Left,20
595,Left,20
617,Left,20
634,Left,20
652,Left,20
669,Left,20
687,Left,20
704,Left,20
723,Left,20
741,Left,20
760,Left,20
779,Left,20
796,Left,20
816,Left,20
833,Left,20
849,Left,20
867,Left,20
885,Left,20
904,Left,20
922,Left,20
939,Left,20
957,Left,20
975,Left,20
996,Left,20
1015,Left,20
1034,Left,20
1050,Left,20
1067,Left,20
1083,Left,20
1101,Left,20
1120,Left,20
1138,Left,20
1157,Left,20
1176,Left,20
1194,Left,20
1211,Left,25
1228,Left,25
1247,Left,25
1265,Left,30
1283,Left,30
1301,Left,30
1320,Left,30
1338,Left,35
1357,Left,35
1375,Left,35
1392,Left,35
1411,Left,35
1429,Left,35
1447,Left,40
1465,Left,40
1484,Left,40
1501,Left,40
1519,Left,40
1538,Left,40
1555,Left,40
1572,Left,40
1590,Left,45
1608,Left,45
1626,Left,45
1644,Left,45
1662,Left,45
1680,Left,45
1698,Left,45
1716,Left,45
1735,Left,45
1752,Left,45
1771,Left,45
1788,Left,45
1807,Left,45
1824,Left,45
1843,Left,50
1865,Left,50
1883,Left,50
1900,Left,50
1918,Left,50
1937,Left,50
1954,Left,50
1973,Left,50
1991,Left,50
2008,Left,55
2024,Left,55
2045,Left,55
2063,Left,55
2082,Left,55
2099,Left,55
2115,Left,55
2132,Left,55
2150,Left,55
2168,Left,55
2186,Left,55
2204,Left,60
2225,Left,60
2244,Left,60
2263,Left,60
2280,Left,60
2296,Left,60
2315,Left,60
2332,Left,60
2349,Left,60
2367,Left,60
2386,Left,60
2404,Left,60
2422,Left,60
2440,Left,60
2458,Left,60
2476,Left,60
2494,Left,60
2513,Left,60
2531,Left,60
2548,Left,60
2566,Left,60
2584,Left,60
2603,Left,60
2620,Left,60
2638,Left,60
2657,Left,60
2674,Left,60
2692,Left,60
2710,Left,60
2729,Left,60
2746,Left,60
2764,Left,60
2783,Left,60
2800,Left,60
2819,Left,60
2838,Left,55
2856,Left,55
2874,Left,55
2892,Left,55
2910,Left,55
2928,Left,55
2946,Left,55
2965,Left,55
2982,Left,55
3000,Left,55
3018,Left,55
3036,Left,55
3055,Left,55
3073,Left,55
3091,Left,55
3109,Left,55
3128,Left,55
3145,Left,55
3163,Left,55
3181,Left,55
3200,Left,55
3216,Left,55
3234,Left,55
3252,Left,55
3271,Left,55
3290,Left,55
3308,Left,55
3327,Left,55
3344,Left,55
3362,Left,55
3380,Left,55
3398,Left,55
3416,Left,55
3435,Left,55
3453,Left,55
3472,Left,55
3488,Left,55
3507,Left,55
3525,Left,60
3544,Left,60
3561,Left,60
3579,Left,60
3597,Left,60
3615,Left,60
3633,Left,60
3651,Left,60
3669,Left,60
3686,Left,60
3704,Left,60
3724,Left,60
3741,Left,60
3760,Left,60
3778,Left,60
3796,Left,60
3814,Left,60
3832,Left,60
3851,Left,60
3868,Left,60
3886,Left,60
3903,Left,60
3921,Left,60
3940,Left,60
3958,Left,60
3976,Left,60
3994,Left,60
4011,Left,60
4031,Left,60
4050,Left,60
4068,Left,60
4086,Left,55
4104,Left,55
4123,Left,55
4142,Left,55
4160,Left,55
4175,Left,55
4193,Left,55
4211,Left,55
4229,Left,55
4247,Left,55
4265,Left,55
4283,Left,55
4301,Left,55
4322,Left,55
4340,Left,55
4358,Left,55
4378,Left,55
4395,Left,55
4410,Left,55
4427,Left,55
4446,Left,55
4464,Left,55
4482,Left,55
4500,Left,55
4518,Left,55
4537,Left,50
4555,Left,50
4573,Left,50
4591,Left,50
4609,Left,50
4626,Left,50
4644,Left,45
4663,Left,45
4681,Left,45
4699,Left,45
4716,Left,45
4734,Left,45
4755,Left,45
4773,Left,45
4792,Left,45
4808,Left,45
4827,Left,40
4844,Left,40
4862,Left,40
4880,Left,40
4898,Left,40
4916,Left,40
4935,Left,40
4952,Left,35
4969,Left,35
4988,Left,35
5007,Left,35
5025,Left,35
5043,Left,35
5061,Left,30
5079,Left,30
5097,Left,30
5115,Left,30
5133,Left,30
5151,Left,25
5169,Left,25
5188,Left,25
5206,Left,25
5224,Left,25
5242,Left,25
5260,Left,25
5278,Left,25
5297,Left,25
5314,Left,25
5331,Left,25
5349,Left,25
5367,Left,25
5385,Left,25
5404,Left,25
5422,Left,25
5440,Left,25
5457,Left,25
5476,Left,25
5494,Left,25
5512,Left,25
5530,Left,25
5548,Left,25
5566,Left,25
5585,Left,25
5602,Left,25
5621,Left,25
5640,Left,25
5659,Left,25
