timestamp,hand,pinchStrength,finger
1,Left,0,index
19,Left,0,index
37,Left,0,index
55,Left,0,index
72,Left,0,index
90,Left,0,index
110,Left,0,index
126,Left,0,index
144,Left,0,index
162,Left,0,index
183,Left,0,index
201,Left,0,index
217,Left,0,index
236,Left,0,index
254,Left,0,index
273,Left,0,index
291,Left,0,index
309,Left,0,index
328,Left,0,index
346,Left,0,index
364,Left,0,index
381,Left,0,index
400,Left,0,index
418,Left,0,index
436,Left,0,index
454,Left,0,index
472,Left,0,index
491,Left,0,index
508,Left,0,index
526,Left,0,index
546,Left,0,index
564,Left,0,index
580,Left,0,index
597,Left,0,index
615,Left,0,index
633,Left,0,index
651,Left,0,index
670,Left,0,index
691,Left,0,index
710,Left,0,index
728,Left,0,index
745,Left,0,index
764,Left,0,index
779,Left,0,index
797,Left,0,index
815,Left,0,index
833,Left,0,index
851,Left,0,index
869,Left,0,index
887,Left,0,index
905,Left,0,index
923,Left,0,index
946,Left,0,index
964,Left,0,index
981,Left,0,index
1000,Left,0,index
1018,Left,0,index
1037,Left,0,index
1053,Left,0,index
1069,Left,0,index
1086,Left,0,index
1103,Left,0,index
1121,Left,0,index
1140,Left,0,index
1157,Left,0,index
1175,Left,0,index
1193,Left,0,index
1211,Left,0,index
1231,Left,0,index
1250,Left,0,index
1269,Left,0,index
1286,Left,0,index
1304,Left,0,index
1322,Left,0,index
1340,Left,0,index
1358,Left,0,index
1376,Left,0,index
1394,Left,0,index
1413,Left,0,index
1430,Left,0,index
1448,Left,0,index
1467,Left,0,index
1485,Left,0,index
1501,Left,0,index
1519,Left,0,index
1537,Left,0,index
1556,Left,0,index
1577,Left,0,index
1592,Left,0,index
1611,Left,0,index
1638,Left,0,index
1681,Left,0,index
1700,Left,0,index
1718,Left,0,index
1736,Left,0,index
1753,Left,0,index
1771,Left,0,index
1790,Left,0,01882484,index
1811,Left,0,1549612,index
1829,Left,0,2703297,index
1848,Left,0,3719115,index
1867,Left,0,4736341,index
1884,Left,0,5735208,index
1899,Left,0,6558344,index
1917,Left,0,7400111,index
1935,Left,0,8185329,index
1954,Left,0,8863344,index
1971,Left,0,9343378,index
1989,Left,0,9976782,index
2008,Left,1,index
2025,Left,1,index
2052,Left,1,index
2063,Left,1,index
2081,Left,1,index
2098,Left,1,index
2116,Left,1,index
2136,Left,1,index
2153,Left,0,9994608,index
2170,Left,0,9936897,index
2188,Left,0,983368,index
2206,Left,0,9802105,index
2225,Left,0,974678,index
2242,Left,0,9726549,index
2259,Left,0,9741687,index
2279,Left,0,9744334,index
2298,Left,0,9738583,index
2315,Left,0,9661927,index
2333,Left,0,9682735,index
2351,Left,0,9788464,index
2369,Left,0,9854226,index
2387,Left,0,9845262,index
2406,Left,0,9877923,index
2423,Left,0,9875901,index
2442,Left,0,9826607,index
2459,Left,0,978639,index
2477,Left,0,9761609,index
2495,Left,0,9687418,index
2514,Left,0,9664013,index
2532,Left,0,9658908,index
2550,Left,0,9676616,index
2568,Left,0,9676745,index
2586,Left,0,9657993,index
2604,Left,0,9657031,index
2623,Left,0,9710684,index
2641,Left,0,9754128,index
2658,Left,0,9843436,index
2676,Left,0,9971171,index
2695,Left,1,index
2712,Left,1,index
2731,Left,1,index
2749,Left,1,index
2767,Left,0,9807111,index
2785,Left,0,8055874,index
2802,Left,0,6361773,index
2821,Left,0,4542036,index
2839,Left,0,27356,index
2858,Left,0,08193176,index
2876,Left,0,index
2894,Left,0,index
2912,Left,0,index
2929,Left,0,index
2947,Left,0,index
2966,Left,0,index
2984,Left,0,index
3002,Left,0,index
3020,Left,0,index
3038,Left,0,index
3058,Left,0,index
3078,Left,0,index
3098,Left,0,index
3115,Left,0,index
3128,Left,0,index
3146,Left,0,index
