timestamp,hand,angle
8,Left,0
26,Left,0
44,Left,0
62,Left,0
80,Left,0
98,Left,0
117,Left,0
135,Left,0
153,Left,0
170,Left,0
188,Left,0
207,Left,0
225,Left,0
243,Left,0
261,Left,0
279,Left,0
299,Left,0
318,Left,0
336,Left,0
353,Left,0
370,Left,0
388,Left,0
406,Left,0
424,Left,0
444,Left,0
462,Left,0
480,Left,0
498,Left,0
518,Left,0
533,Left,0
551,Left,0
569,Left,0
586,Left,0
605,Left,0
626,Left,0
644,Left,0
662,Left,0
680,Left,0
698,Left,0
717,Left,0
735,Left,0
753,Left,0
770,Left,0
789,Left,5
807,Left,5
824,Left,5
842,Left,5
861,Left,5
880,Left,10
897,Left,10
916,Left,10
934,Left,10
953,Left,10
972,Left,10
985,Left,10
1003,Left,15
1022,Left,15
1039,Left,15
1056,Left,15
1084,Left,15
1111,Left,15
1129,Left,20
1147,Left,20
1166,Left,20
1183,Left,25
1202,Left,25
1219,Left,25
1237,Left,25
1255,Left,30
1273,Left,30
1294,Left,30
1312,Left,30
1330,Left,30
1348,Left,30
1367,Left,30
1385,Left,30
1403,Left,35
1422,Left,35
1436,Left,35
1454,Left,35
1473,Left,35
1490,Left,35
1509,Left,35
1527,Left,35
1544,Left,35
1565,Left,35
1584,Left,35
1603,Left,35
1617,Left,35
1635,Left,35
1653,Left,30
1671,Left,30
1689,Left,30
1707,Left,30
1725,Left,30
1743,Left,35
1761,Left,35
1779,Left,35
1798,Left,35
1815,Left,35
1834,Left,35
1852,Left,35
1870,Left,35
1888,Left,35
1906,Left,35
1924,Left,35
1943,Left,40
1960,Left,40
1981,Left,40
1998,Left,40
2017,Left,40
2033,Left,40
2052,Left,40
2069,Left,40
2088,Left,40
2108,Left,40
2124,Left,40
2143,Left,40
2159,Left,40
2178,Left,40
2195,Left,40
2213,Left,40
2232,Left,40
2250,Left,45
2268,Left,40
2290,Left,45
2304,Left,45
2322,Left,45
2340,Left,45
2359,Left,45
2379,Left,45
2397,Left,45
2415,Left,45
2434,Left,45
2449,Left,45
2468,Left,45
2485,Left,45
2502,Left,45
2521,Left,45
2540,Left,45
2559,Left,45
2577,Left,45
2595,Left,45
2613,Left,45
2632,Left,45
2650,Left,45
2667,Left,45
2686,Left,45
2703,Left,45
2722,Left,45
2740,Left,45
2757,Left,45
2775,Left,40
2794,Left,40
2812,Left,45
2830,Left,45
2849,Left,45
2867,Left,45
2885,Left,45
2903,Left,45
2921,Left,45
2938,Left,45
2957,Left,45
2975,Left,45
2993,Left,45
3011,Left,45
3029,Left,45
3047,Left,45
3063,Left,45
3081,Left,45
3168,Left,35
3185,Left,35
3204,Left,40
3229,Left,40
3244,Left,40
3262,Left,40
3280,Left,40
3299,Left,40
3317,Left,40
3334,Left,40
3355,Left,35
3373,Left,35
3391,Left,35
3408,Left,35
3427,Left,35
3446,Left,35
3463,Left,35
3481,Left,35
3499,Left,35
3518,Left,35
3533,Left,35
3552,Left,35
3569,Left,35
3587,Left,35
3605,Left,35
3623,Left,30
3642,Left,30
3660,Left,30
3677,Left,30
3696,Left,30
3714,Left,30
3732,Left,30
3750,Left,30
3768,Left,30
3786,Left,30
3804,Left,30
3822,Left,30
3840,Left,30
3859,Left,30
3878,Left,30
3895,Left,30
3913,Left,30
3931,Left,30
3951,Left,30
3970,Left,30
3988,Left,30
4006,Left,30
4024,Left,30
4042,Left,30
4059,Left,30
4078,Left,30
4096,Left,25
4114,Left,25
4132,Left,25
4150,Left,20
4168,Left,20
4186,Left,20
4204,Left,15
4222,Left,15
4241,Left,15
4258,Left,10
4277,Left,10
4294,Left,10
4310,Left,10
4329,Left,10
4346,Left,10
4365,Left,10
4383,Left,10
4404,Left,10
4422,Left,10
4437,Left,10
4455,Left,10
4473,Left,10
4494,Left,10
4513,Left,10
4528,Left,10
4547,Left,10
4563,Left,10
4582,Left,10
4600,Left,10
4618,Left,10
4636,Left,10
4654,Left,10
4674,Left,10
4693,Left,10
4709,Left,10
4728,Left,10
4745,Left,10
4763,Left,10
4781,Left,10
4803,Left,10
4823,Right,15
4840,Right,15
4858,Right,10
4876,Right,5
4894,Right,5
