timestamp,hand,angle
8,Left,20
26,Left,20
44,Left,20
62,Left,20
80,Left,20
98,Left,20
117,Left,20
134,Left,20
152,Left,20
171,Left,20
188,Left,20
206,Left,20
225,Left,20
243,Left,20
262,Left,20
279,Left,20
297,Left,20
315,Left,20
334,Left,20
352,Left,20
369,Left,20
387,Left,20
406,Left,20
424,Left,20
478,Left,20
496,Left,20
514,Left,20
532,Left,20
551,Left,20
569,Left,20
586,Left,20
607,Left,20
625,Left,20
641,Left,20
659,Left,20
677,Left,20
698,Left,20
716,Left,20
732,Left,20
750,Left,20
768,Left,20
789,Left,20
806,Left,20
825,Left,20
843,Left,20
859,Left,20
877,Left,20
894,Left,20
913,Left,20
931,Left,20
949,Left,20
967,Left,20
985,Left,20
1003,Left,20
1022,Left,20
1040,Left,25
1058,Left,25
1076,Left,25
1093,Left,25
1110,Left,25
1128,Left,25
1147,Left,25
1166,Left,25
1183,Left,25
1202,Left,25
1219,Left,25
1237,Left,25
1256,Left,25
1274,Left,25
1292,Left,30
1312,Left,30
1328,Left,30
1345,Left,30
1363,Left,30
1382,Left,30
1403,Left,35
1421,Left,35
1439,Left,35
1456,Left,35
1474,Left,35
1491,Left,35
1509,Left,40
1526,Left,40
1546,Left,40
1562,Left,40
1582,Left,45
1600,Left,45
1619,Left,45
1636,Left,45
1653,Left,50
1671,Left,50
1689,Left,50
1707,Left,55
1725,Left,55
1744,Left,55
1761,Left,55
1780,Left,60
1798,Left,60
1820,Left,60
1837,Left,60
1856,Left,60
1871,Left,60
1889,Left,60
1906,Left,65
1924,Left,65
1942,Left,65
1961,Left,65
1979,Left,65
1998,Left,65
2016,Left,65
2033,Left,65
2052,Left,65
2070,Left,65
2087,Left,65
2106,Left,65
2124,Left,65
2142,Left,65
2160,Left,65
2179,Left,65
2197,Left,65
2215,Left,65
2233,Left,65
2251,Left,65
2269,Left,65
2287,Left,65
2305,Left,60
2323,Left,65
2341,Left,65
2359,Left,65
2376,Left,65
2394,Left,65
2413,Left,65
2430,Left,65
2449,Left,65
2505,Left,65
2523,Left,65
2542,Left,65
2561,Left,65
2579,Left,65
2596,Left,65
2616,Left,65
2634,Left,65
2651,Left,65
2670,Left,65
2685,Left,65
2703,Left,65
2721,Left,65
2739,Left,65
2758,Left,65
2775,Left,65
2793,Left,65
2812,Left,65
2829,Left,65
2847,Left,65
2867,Left,65
2883,Left,65
2901,Left,65
2918,Left,65
2936,Left,65
2955,Left,65
2972,Left,65
2992,Left,65
3009,Left,65
3027,Left,65
3045,Left,65
3063,Left,65
3082,Left,65
3100,Left,60
3118,Left,60
3135,Left,60
3154,Left,60
3171,Left,60
3190,Left,60
3208,Left,60
3262,Left,60
3280,Left,60
3299,Left,55
3317,Left,55
3335,Left,55
3352,Left,55
3371,Left,55
3388,Left,50
3407,Left,50
3424,Left,50
3443,Left,45
3461,Left,45
3479,Left,45
3498,Left,40
3515,Left,40
3534,Left,40
3551,Left,35
3570,Left,35
3587,Left,35
3606,Left,30
3624,Left,30
3642,Left,30
3660,Left,30
3677,Left,30
3699,Left,25
3717,Left,25
3733,Left,25
3751,Left,25
3769,Left,25
3787,Left,25
3805,Left,25
3823,Left,25
3841,Left,20
3859,Left,20
3877,Left,20
3895,Left,20
3914,Left,20
3932,Left,20
3950,Left,20
3967,Left,20
3985,Left,20
4004,Left,20
4022,Left,20
4039,Left,20
4060,Left,20
4078,Left,20
4097,Left,20
4114,Left,20
4134,Left,20
4149,Left,20
4168,Left,20
4184,Left,20
4203,Left,20
4221,Left,20
4239,Left,20
4257,Left,20
4275,Left,15
4293,Left,15
4311,Left,15
4329,Left,15
4347,Left,15
4365,Left,15
4384,Left,15
4401,Left,15
4420,Left,15
4438,Left,15
4456,Left,15
4473,Left,15
4491,Left,15
4509,Left,15
4527,Left,15
4545,Left,15
4564,Left,15
4585,Left,15
4603,Left,15
4622,Left,15
4637,Left,15
4655,Left,15
4673,Left,15
4691,Left,15
4710,Left,15
4727,Left,15
4745,Left,20
4762,Left,20
4780,Left,20
4798,Left,20
4818,Left,20
4836,Left,25
4854,Left,25
4872,Left,25
4890,Left,25
4908,Left,30
4926,Left,30
4944,Left,30
4962,Left,30
4981,Left,30
4998,Left,35
5017,Left,35
5035,Left,35
5052,Left,40
5071,Left,40
5089,Left,40
5107,Left,40
5125,Left,40
5143,Left,40
5162,Left,40
5180,Left,40
5196,Left,45
5214,Left,45
5234,Left,45
5251,Left,45
5269,Left,45
5287,Left,50
5306,Left,50
5323,Left,50
5340,Left,50
5359,Left,50
5377,Left,50
5395,Left,50
5413,Left,55
5430,Left,55
5451,Left,55
5469,Left,55
5487,Left,55
5504,Left,55
5522,Left,55
5539,Left,55
5557,Left,55
5576,Left,50
5594,Left,50
5612,Left,50
5630,Left,50
5648,Left,50
5666,Left,50
5685,Left,50
5702,Left,50
5720,Left,50
5738,Left,50
5757,Left,50
5775,Left,50
5793,Left,45
5811,Left,45
5829,Left,45
5847,Left,45
5865,Left,50
5883,Left,50
5901,Left,50
5919,Left,50
5937,Left,50
5955,Left,50
5973,Left,50
5992,Left,50
6010,Left,45
6028,Left,45
6045,Left,45
6063,Left,45
6082,Left,45
6101,Left,45
6118,Left,45
6136,Left,45
6154,Left,45
6172,Left,45
6191,Left,45
6209,Left,45
6226,Left,45
6245,Left,45
6263,Left,45
6281,Left,50
6299,Left,50
6318,Left,50
6335,Left,50
6353,Left,50
6371,Left,50
6389,Left,50
6407,Left,50
6425,Left,50
6444,Left,50
6462,Left,50
6480,Left,50
6498,Left,50
6518,Left,50
6536,Left,50
6552,Left,50
6570,Left,50
6588,Left,50
6606,Left,50
6624,Left,50
6642,Left,50
6661,Left,50
6679,Left,50
6697,Left,50
6715,Left,50
6732,Left,50
6751,Left,50
6769,Left,50
6787,Left,50
6805,Left,50
6823,Left,50
6841,Left,50
6859,Left,50
6877,Left,50
6895,Left,50
6914,Left,50
6932,Left,50
6949,Left,50
6968,Left,50
6985,Left,50
7004,Left,45
7022,Left,45
7040,Left,45
7058,Left,45
7076,Left,45
7094,Left,45
7112,Left,45
7130,Left,45
7148,Left,45
7167,Left,45
7184,Left,40
7203,Left,40
7221,Left,40
7238,Left,40
7257,Left,40
7275,Left,40
7293,Left,40
7311,Left,40
7329,Left,40
7347,Left,40
7365,Left,35
7383,Left,35
7402,Left,35
7420,Left,35
7438,Left,35
7455,Left,35
7474,Left,35
7492,Left,35
7510,Left,30
7528,Left,30
7546,Left,30
7566,Left,25
7585,Left,25
7601,Left,20
7619,Left,20
7636,Left,15
7654,Left,15
7673,Left,15
7691,Left,15
7709,Left,15
7727,Left,15
7746,Left,15
7766,Left,15
7783,Left,15
7802,Left,15
7820,Left,15
7836,Left,15
7854,Left,15
7872,Left,15
7890,Left,15
7908,Left,15
7926,Left,15
7944,Left,15
7962,Left,15
7980,Left,15
7999,Left,15
8016,Left,15
8035,Left,15
8053,Left,20
8072,Left,20
8089,Left,20
8106,Left,20
