timestamp,hand,angle
76,left,20
87,left,20
105,left,20
123,left,20
141,left,20
161,left,20
179,left,20
197,left,20
215,left,20
233,left,25
252,left,25
274,left,30
294,left,30
311,left,35
330,left,35
348,left,35
365,left,40
383,left,40
398,left,40
415,left,40
434,left,40
452,left,40
470,left,40
496,left,40
512,left,40
531,left,40
550,left,40
565,left,40
581,left,40
596,left,40
612,left,40
630,left,40
648,left,40
670,left,40
689,left,40
709,left,40
725,left,40
743,left,40
761,left,40
780,left,40
797,left,45
815,left,45
833,left,45
851,left,45
869,left,45
887,left,45
906,left,45
923,left,45
945,left,45
958,left,45
975,left,45
992,left,45
1011,left,45
1029,left,45
1047,left,45
1065,left,45
1083,left,45
1101,left,45
1119,left,45
1137,left,45
1157,left,45
1173,left,45
1191,left,45
1209,left,45
1227,left,50
1246,left,50
1264,left,50
1282,left,50
1300,left,50
1318,left,50
1336,left,50
1354,left,50
1372,left,50
1391,left,50
1408,left,50
1426,left,50
1445,left,50
1463,left,50
1480,left,50
1499,left,50
1517,left,50
1535,left,50
1553,left,50
1571,left,50
1590,left,50
1608,left,50
1626,left,50
1643,left,50
1659,left,50
1677,left,50
1736,right,5
1752,right,50
1770,right,55
1788,right,65
1806,right,65
1824,right,65
1842,right,65
1860,right,65
1878,right,65
1896,right,65
1915,right,65
1933,right,60
2021,right,40
2033,right,45
2044,right,50
2076,right,50
2095,right,60
2112,right,60
2131,right,65
2148,right,70
2167,right,70
2185,right,70
2203,right,65
2220,right,65
2238,right,60
2256,right,60
2296,right,60
2315,right,60
2333,right,60
2351,right,60
2371,right,60
2387,right,65
2402,right,65
2420,right,65
2438,right,65
2456,right,65
2475,right,65
2492,right,65
2510,right,65
2529,right,65
2547,right,65
2565,right,65
2583,right,65
2601,right,65
2619,right,65
2637,right,65
2655,left,40
2685,left,45
2697,left,50
2711,left,50
2729,left,55
2747,left,55
2764,left,55
2783,left,55
2803,left,55
2821,left,55
2839,left,55
2857,left,55
2875,left,55
2893,left,55
2912,left,50
2929,left,50
2948,left,50
2964,left,50
2981,left,50
2999,left,50
3017,left,50
3035,left,50
3053,left,50
3071,left,50
3089,right,50
3107,right,55
3128,right,60
3146,right,60
3165,right,60
3183,right,65
3200,right,65
3216,right,65
3234,right,65
3254,right,65
3273,right,65
3291,right,60
3311,right,60
3327,right,60
3345,right,60
3363,right,60
3381,right,60
3400,left,40
3418,left,45
3439,left,50
3453,left,50
3471,left,50
3489,left,50
3508,left,50
3526,left,50
3541,left,50
3559,left,50
3576,left,50
3598,left,50
3619,left,50
3637,left,50
3655,left,50
3672,left,50
3691,left,50
3709,left,50
3723,left,50
3742,left,50
3760,left,50
3775,left,50
3792,left,50
3814,left,50
3832,left,50
3850,left,50
3871,left,50
3890,right,45
3908,right,50
3926,right,60
3946,right,60
3963,right,60
3981,right,60
3999,right,60
4014,right,60
4030,right,60
4047,right,60
4066,right,60
4084,right,60
4102,right,60
4120,right,60
4142,right,60
4161,right,60
4180,right,60
4198,left,40
4216,left,45
4229,left,50
4248,left,50
4265,left,50
4284,left,50
4301,left,50
4320,left,50
4338,left,50
4356,left,50
4374,left,50
4392,left,50
4410,left,50
4428,left,50
4446,left,50
4465,left,50
4483,left,50
4501,left,50
4518,left,50
4537,left,50
4556,left,50
4573,left,50
4589,left,50
4607,left,50
4627,left,50
4645,left,50
4664,right,45
4681,right,50
4700,right,55
4718,right,60
4736,right,60
4753,right,60
4772,right,60
4790,right,60
4809,right,60
4825,right,60
4842,right,60
4859,right,60
4877,right,60
4895,right,60
4916,right,60
4936,right,60
4954,right,55
4972,left,40
4990,left,40
5008,left,50
5026,left,50
5044,left,50
5062,left,50
5080,left,50
5101,left,50
5117,left,50
5135,left,50
5153,left,50
5168,left,50
5186,left,50
5204,left,50
5222,left,50
5240,left,50
5258,left,50
5277,left,50
5295,left,50
5313,left,50
5331,left,50
5349,left,50
5369,left,50
5385,left,50
5404,left,50
5421,left,50
5439,left,50
5458,left,50
5475,left,50
5494,left,50
5512,left,50
5530,left,50
5548,left,50
5567,left,50
5584,left,50
5602,left,50
5620,left,50
5638,left,50
5657,left,50
5674,left,50
5692,left,50
5718,left,50
5737,left,50
5755,left,50
5772,left,50
5788,left,50
5804,left,50
5819,left,50
5837,left,50
5855,left,50
5873,left,50
5889,left,50
5907,left,50
5926,left,50
5944,left,50
5964,left,50
5980,left,50
6003,left,50
6020,left,50
6038,left,50
6056,left,50
6075,left,50
6091,left,50
6108,left,50
6126,left,50
6145,left,50
6165,left,50
6183,left,50
6201,left,50
6219,left,50
6238,left,50
6256,left,50
6274,left,50
6292,left,50
6311,left,50
6328,left,50
6346,left,50
6364,left,50
6382,left,50
6401,left,50
6418,left,50
6437,left,50
6454,left,50
6472,left,50
6490,left,50
6509,left,50
6526,left,50
6545,left,50
6563,left,50
6581,left,50
6599,left,50
6617,left,50
6635,left,50
6653,left,50
6671,left,50
6689,left,50
6707,left,50
6726,left,50
6744,left,50
6762,left,50
6780,left,50
6798,left,50
6816,left,50
6834,left,50
6852,left,50
6870,left,50
6888,left,50
6910,left,50
6924,left,50
6939,left,50
6957,left,50
6977,left,50
6994,left,50
7012,left,50
7030,left,50
7051,left,50
