timestamp,hand,angle
93,left,30
104,left,30
122,left,30
143,left,30
161,left,30
178,left,30
198,left,30
216,left,30
235,left,30
253,left,30
271,left,30
284,left,30
303,left,30
322,left,30
340,left,30
358,left,30
376,left,30
394,left,30
412,left,30
431,left,30
449,left,30
467,left,30
488,left,30
509,left,30
522,left,30
540,left,30
558,left,30
576,left,30
595,left,30
612,left,30
630,left,30
648,left,35
666,left,35
685,left,35
703,left,35
721,left,35
741,left,35
756,left,35
773,left,35
790,left,35
809,left,35
826,left,35
848,left,35
866,left,35
885,left,35
903,left,35
921,left,35
940,left,35
957,left,35
975,left,35
993,left,35
1015,left,35
1026,left,35
1044,left,35
1062,left,35
1080,left,35
1098,left,35
1122,left,35
1140,left,35
1159,left,35
1174,left,35
1191,left,35
1208,left,35
1226,left,35
1245,left,35
1263,left,35
1281,left,35
1299,left,35
1318,left,35
1335,left,35
1353,left,35
1371,left,35
1389,left,35
1407,left,35
1425,left,35
1443,left,35
1462,left,35
1479,left,35
1498,left,35
1516,left,35
1534,left,30
1553,left,30
1570,left,30
1588,left,30
1606,left,25
1624,left,25
1642,left,25
1661,left,25
1678,left,20
1697,left,20
1714,left,20
1733,left,20
1751,left,20
1769,left,15
1787,left,15
1806,left,15
1823,left,15
1839,left,15
1857,left,15
1879,left,10
1897,left,10
1915,left,10
1933,left,10
1951,left,10
1969,left,5
1987,left,5
2005,left,5
2023,left,5
2041,left,5
2059,left,5
2078,left,5
2096,left,5
2114,left,5
2133,left,5
2151,left,5
2173,left,5
2187,left,5
2201,left,5
2219,left,5
2241,left,5
2258,left,5
2277,left,5
2295,left,5
2313,left,10
2331,left,10
2349,left,10
2367,left,10
2385,left,10
2403,left,10
2421,left,15
2439,left,15
2457,left,15
2480,left,15
2494,left,15
2511,left,20
2529,left,20
2548,left,20
2566,left,20
2584,left,20
2602,left,20
2620,left,25
2638,left,25
2656,left,25
2674,left,25
2692,left,25
2711,left,30
2729,left,30
2747,left,30
2765,left,30
2783,left,30
2802,left,30
2820,left,30
2837,left,30
2857,left,30
2874,left,30
2888,left,30
2906,left,30
2924,left,30
2943,left,30
2968,left,30
2982,left,30
3000,left,30
3018,left,30
3037,left,30
3054,left,30
3072,left,30
3090,left,30
3109,left,30
3126,left,30
3144,left,30
3163,left,30
3181,left,30
3199,left,30
3217,left,30
3235,left,35
3253,left,35
3271,left,35
3289,left,35
3307,left,35
3325,left,35
3343,left,35
3361,left,35
3379,left,35
3397,left,35
3415,left,35
3433,left,35
3452,left,35
3470,left,35
3489,left,35
3507,left,35
3520,left,35
3539,left,35
3556,left,35
3575,left,35
3592,left,35
3610,left,35
3631,left,35
3647,left,35
3665,left,35
3684,left,35
3701,left,35
3719,left,30
3740,left,30
3758,left,30
3776,left,30
3794,left,30
3812,left,30
3830,left,30
3849,left,30
3867,left,30
3885,left,30
3903,left,30
3922,left,30
3940,left,30
3957,left,30
3975,left,30
3993,left,30
4011,left,30
4029,left,30
4047,left,30
4065,left,30
4084,left,30
4102,left,30
4120,left,30
4137,left,30
4155,left,30
4174,left,30
4192,left,30
4210,left,30
4228,left,30
4246,left,30
4264,left,30
4283,left,30
4300,left,30
4318,left,30
4337,left,30
4354,left,30
4373,left,30
4391,left,30
4409,left,30
4427,left,30
4445,left,30
4463,left,30
4481,left,30
4503,left,30
4517,left,30
4535,left,30
4553,left,30
4572,left,30
4590,left,30
4607,left,30
4626,left,30
4644,left,30
4662,left,30
4680,left,35
4698,left,35
4716,left,35
4735,left,35
4752,left,35
4770,left,35
4788,left,35
4807,left,35
4825,left,35
4843,left,35
4861,left,35
4880,left,35
4897,left,35
4915,left,35
4934,left,35
4952,left,35
4970,left,35
4989,left,35
5012,left,35
5024,left,35
5040,left,35
5058,left,35
5076,left,35
5094,left,35
5112,left,35
5130,left,35
5148,left,35
5166,left,35
5184,left,35
5202,left,35
5221,left,35
5239,left,35
5258,left,35
5275,left,35
5293,left,35
5311,left,35
5328,left,35
5346,left,35
5364,left,35
5382,left,35
5401,left,35
5422,left,35
5439,left,35
5458,left,30
5476,left,30
5494,left,30
5513,left,30
5531,left,30
5548,left,30
5566,left,30
5584,left,30
5603,left,30
5620,left,30
5639,left,30
5657,left,30
5674,left,30
5693,left,30
5711,left,30
5729,left,30
5747,left,30
5765,left,30
5783,left,30
5801,left,30
5820,left,30
5838,left,30
5855,left,30
5874,left,30
5892,left,30
5910,left,30
5928,left,35
5946,left,35
5964,left,35
5983,left,35
6002,left,35
6019,left,35
6036,left,35
6055,left,35
6070,left,35
6087,left,35
6105,left,35
6124,left,30
6142,left,30
6160,left,30
6178,left,30
6196,left,30
6214,left,30
6232,left,30
6250,left,30
6268,left,30
6286,left,30
6304,left,30
6323,left,30
6340,left,30
6358,left,30
6376,left,30
6394,left,30
6412,left,25
6431,left,25
6449,left,25
6467,left,25
6489,left,25
6509,left,25
6531,left,25
6544,left,25
6559,left,25
6577,left,25
6595,left,25
6613,left,25
6631,left,20
6649,left,20
6667,left,20
6685,left,20
6703,left,20
6722,left,20
6740,left,20
6758,left,20
6776,left,20
6794,left,20
6812,left,20
6830,left,15
6848,left,15
6866,left,15
6884,left,15
6902,left,15
6921,left,15
6938,left,15
6957,left,15
6975,left,15
6993,left,15
7011,left,15
7029,left,15
7047,left,15
7065,left,15
