timestamp,hand,angle
110,left,15
127,left,15
149,left,15
164,left,15
181,left,15
200,left,15
219,left,15
242,left,15
259,left,15
278,left,15
291,left,15
310,left,15
327,left,15
345,left,15
363,left,15
381,left,15
400,left,15
417,left,15
440,left,15
459,left,15
477,left,15
495,left,15
513,left,15
531,left,15
549,left,15
567,left,15
585,left,15
603,left,15
621,left,15
640,left,15
661,left,15
675,left,15
694,left,15
712,left,15
730,left,15
748,left,15
766,left,15
784,left,15
799,left,20
817,left,20
839,left,20
858,left,20
874,left,20
893,left,20
911,left,20
929,left,25
947,left,25
965,left,25
983,left,25
1001,left,25
1020,left,25
1038,left,25
1059,left,25
1074,left,25
1091,left,25
1106,left,25
1124,left,25
1142,left,25
1160,left,30
1178,left,30
1197,left,30
1212,left,30
1230,left,30
1253,left,35
1271,left,35
1290,left,35
1308,left,35
1326,left,35
1343,left,40
1362,left,40
1379,left,40
1398,left,40
1415,left,40
1434,left,40
1452,left,40
1470,left,40
1488,left,45
1506,left,45
1525,left,45
1543,left,45
1557,left,45
1575,left,45
1594,left,45
1615,left,45
1633,left,45
1651,left,45
1669,left,45
1687,left,45
1705,left,45
1723,left,45
1741,left,50
1759,left,50
1778,left,50
1796,left,50
1813,left,50
1832,left,50
1849,left,50
1868,left,50
1886,left,50
1904,left,55
1923,left,55
1937,left,55
1955,left,55
1973,left,55
1993,left,55
2012,left,55
2031,left,55
2049,left,55
2067,left,55
2085,left,55
2103,left,55
2121,left,55
2139,left,55
2157,left,55
2175,left,55
2193,left,55
2211,left,55
2234,left,55
2248,left,55
2262,left,55
2279,left,55
2297,left,55
2317,left,55
2333,left,55
2351,left,55
2369,left,55
2387,left,55
2405,left,55
2424,left,55
2441,left,55
2460,left,55
2482,left,55
2500,left,55
2519,left,55
2537,left,55
2555,left,55
2573,left,55
2591,left,55
2609,left,55
2627,left,55
2645,left,55
2663,left,55
2681,left,55
2700,left,55
2717,left,55
2736,left,55
2753,left,55
2772,left,55
2790,left,55
2808,left,55
2826,left,55
2841,left,55
2859,left,55
2880,left,55
2899,left,55
2916,left,55
2934,left,55
2952,left,55
2971,left,55
2989,left,55
3007,left,55
3025,left,55
3043,left,50
3061,left,50
3080,left,50
3097,left,50
3116,left,50
3139,left,50
3151,left,45
3169,left,45
3187,left,45
3205,left,45
3223,left,45
3242,left,45
3260,left,40
3283,left,40
3296,left,40
3312,left,35
3327,left,35
3345,left,35
3363,left,35
3386,left,35
3404,left,30
3422,left,30
3441,left,30
3459,left,30
3476,left,30
3495,left,30
3513,left,30
3531,left,30
3551,left,30
3567,left,30
3585,left,30
3603,left,30
3621,left,25
3640,left,25
3657,left,25
3676,left,25
3693,left,25
3711,left,25
3730,left,25
3748,left,25
3765,left,25
3784,left,25
3802,left,25
3820,left,25
3838,left,25
3856,left,25
3874,left,25
3892,left,20
3911,left,20
3929,left,20
3947,left,20
3964,left,20
3983,left,20
4001,left,20
4016,left,25
4034,left,25
4052,left,25
4070,left,25
4089,left,25
4107,left,25
4124,left,25
4142,left,25
4161,left,25
4180,left,25
4195,left,25
4217,left,25
4236,left,20
4250,left,20
4268,left,20
4290,left,20
4308,left,20
4327,left,15
4341,left,20
4359,left,15
4375,left,15
4396,left,15
4414,left,15
4432,left,15
4450,left,20
4468,left,20
4486,left,20
4514,left,25
4540,left,25
4559,left,25
4585,left,25
4602,left,25
4616,left,30
4634,left,30
4652,left,30
4670,left,30
4688,left,30
4710,left,35
4725,left,35
4743,left,35
4760,left,40
4779,left,40
4796,left,40
4815,left,45
4833,left,45
4852,left,45
4869,left,45
4889,left,50
4905,left,50
4923,left,50
4941,left,50
4960,left,50
4974,left,50
4992,left,50
5010,left,55
5029,left,55
5046,left,55
5065,left,55
5083,left,55
5101,left,55
5118,left,55
5137,left,55
5155,left,60
5176,left,60
5195,left,60
5213,left,60
5231,left,60
5248,left,60
5267,left,60
5285,left,60
5308,left,60
5328,left,60
5352,left,60
5354,left,60
5371,left,60
5389,left,60
5409,left,60
5424,left,60
5443,left,60
5460,left,60
5478,left,60
5496,left,60
5519,left,60
5536,left,60
5554,left,60
5573,left,60
5590,left,60
5608,left,60
5627,left,60
5645,left,60
5662,left,60
5680,left,60
5699,left,60
5756,left,60
5774,left,60
5792,left,65
5810,left,65
5829,left,65
5846,left,65
5864,left,65
5882,left,65
5896,left,65
5913,left,65
5931,left,65
5950,left,65
5968,left,60
5991,left,60
6010,left,60
6027,left,60
6046,left,60
6064,left,60
6082,left,60
6100,left,60
6118,left,60
6138,left,60
6154,left,60
6169,left,60
6187,left,60
6205,left,60
6223,left,60
6241,left,60
6259,left,60
6277,left,60
6295,left,60
6313,left,65
6331,left,65
6349,left,65
6367,left,65
6385,left,65
6404,left,65
6422,left,65
6440,left,65
6458,left,65
6472,left,65
6490,left,65
6509,left,65
6530,left,65
6548,left,65
6563,left,65
6582,left,65
6602,left,65
6620,left,65
6638,left,65
6656,left,65
6674,left,65
6693,left,65
6710,left,65
6728,left,65
6747,left,60
6764,left,60
6782,left,60
6801,left,60
6819,left,60
6837,left,60
6855,left,60
6873,left,60
6892,left,60
6910,left,60
6925,left,60
6943,left,60
6961,left,55
6982,left,55
6999,left,55
7017,left,55
7036,left,55
7054,left,55
7072,left,55
