timestamp,hand,angle
86,left,20
104,left,20
128,left,20
144,left,20
163,left,20
181,left,20
199,left,20
216,left,20
235,left,20
254,left,20
271,left,20
289,left,20
307,left,20
325,left,20
343,left,20
361,left,20
379,left,20
398,left,20
416,left,20
434,left,20
448,left,20
466,left,20
484,left,20
503,left,20
521,left,20
539,left,20
558,left,20
576,left,20
595,left,20
612,left,20
630,left,20
648,left,20
666,left,20
684,left,20
702,left,20
720,left,20
739,left,20
757,left,20
774,left,20
793,left,20
811,left,20
829,left,20
846,left,20
865,left,25
883,left,25
909,left,25
929,left,30
944,left,30
958,left,30
975,left,35
993,left,35
1010,left,35
1029,left,40
1047,left,40
1066,left,40
1083,left,40
1101,left,40
1120,left,45
1138,left,45
1156,left,45
1173,left,45
1192,left,45
1210,left,45
1228,left,45
1246,left,45
1266,left,45
1282,left,45
1301,left,45
1318,left,50
1336,left,50
1354,left,50
1373,left,55
1391,left,55
1409,left,55
1427,left,55
1445,left,55
1463,left,60
1485,left,60
1499,left,60
1517,left,60
1532,left,60
1551,left,60
1568,left,60
1589,left,60
1607,left,60
1626,left,60
1643,left,60
1662,left,60
1680,left,60
1698,left,60
1716,left,60
1734,left,60
1752,left,60
1770,left,60
1789,left,60
1807,left,60
1825,left,60
1842,left,60
1861,left,60
1878,left,60
1897,left,60
1915,left,60
1933,left,60
1951,left,60
1969,left,60
1988,left,60
2006,left,60
2023,left,60
2042,left,60
2059,left,60
2078,left,60
2096,left,60
2114,left,60
2135,left,60
2150,left,60
2168,left,65
2186,left,65
2204,left,65
2222,left,65
2242,left,65
2266,left,65
2285,left,65
2302,left,65
2316,left,65
2333,left,65
2351,left,65
2369,left,65
2388,left,65
2401,left,65
2419,left,65
2436,left,65
2457,left,65
2474,left,65
2493,left,65
2511,left,65
2529,left,65
2547,left,65
2565,left,65
2581,left,65
2599,left,65
2617,left,65
2635,left,65
2653,left,65
2671,left,60
2689,left,60
2707,left,60
2730,left,60
2748,left,60
2766,left,60
2820,left,60
2838,left,60
2856,left,60
2874,left,60
2893,left,60
2911,left,60
2934,left,60
2948,left,60
2964,left,60
2980,left,60
2998,left,60
3016,left,60
3037,left,60
3056,left,60
3074,left,60
3092,left,60
3110,left,60
3128,left,60
3144,left,60
3161,left,60
3179,left,60
3197,left,60
3215,left,60
3234,left,60
3251,left,60
3269,left,60
3287,left,60
3305,left,60
3324,left,60
3342,left,60
3360,left,60
3378,left,60
3395,left,60
3414,left,60
3432,left,60
3450,left,60
3468,left,60
3486,left,60
3504,left,60
3522,left,60
3540,left,60
3559,left,60
3576,left,60
3598,left,60
3613,left,60
3629,left,60
3646,left,60
3667,left,60
3685,left,60
3703,left,60
3721,left,60
3740,left,60
3757,left,60
3776,left,60
3794,left,60
3811,left,60
3830,left,60
3848,left,60
3866,left,60
3884,left,60
3902,left,60
3920,left,60
3938,left,60
3956,left,60
3974,left,55
3993,left,55
4010,left,55
4028,left,55
4047,left,55
4064,left,55
4083,left,60
4100,left,60
4122,left,60
4137,left,60
4155,left,60
4173,left,60
4191,left,60
4209,left,60
4227,left,60
4245,left,60
4264,left,60
4281,left,60
4300,left,60
4318,left,60
4335,left,60
4354,left,60
4372,left,60
4390,left,60
4408,left,60
4426,left,60
4444,left,55
4462,left,55
4480,left,55
4498,left,55
4516,left,55
4535,left,55
4553,left,55
4571,left,55
4589,left,55
4607,left,55
4625,left,55
4643,left,55
4664,left,55
4677,left,55
4695,left,55
4713,left,55
4735,left,55
4754,left,55
4772,left,55
4789,left,55
4805,left,55
4824,left,55
4841,left,55
4859,left,55
4877,left,55
4898,left,55
4921,left,55
4941,left,55
4949,left,55
4967,left,55
4986,left,55
5008,left,55
5026,left,55
5043,left,55
5061,left,55
5079,left,55
5098,left,55
5116,left,55
5134,left,55
5152,left,55
5170,left,55
5185,left,55
5203,left,55
5221,left,55
5239,left,55
5257,left,55
5275,left,55
5296,left,55
5311,left,55
5330,left,55
5347,left,55
5366,left,55
5384,left,55
5402,left,55
5420,left,55
5438,left,55
5456,left,55
5474,left,55
5493,left,55
5510,left,55
5528,left,55
5546,left,55
5564,left,55
5583,left,55
5601,left,55
5619,left,55
5637,left,55
5654,left,55
5673,left,55
5691,left,55
5711,left,55
5725,left,55
5743,left,55
5761,left,55
5780,left,55
5797,left,55
5816,left,55
5834,left,55
5857,left,55
5875,left,55
5892,left,55
5910,left,55
5928,left,55
5947,left,55
5965,left,55
5983,left,55
6001,left,55
6019,left,55
6037,left,55
6056,left,55
6073,left,55
6092,left,55
6109,left,55
6128,left,55
6143,left,55
6160,left,55
6178,left,55
6196,left,55
6214,left,55
6237,left,55
6257,left,55
6275,left,55
6290,left,55
6306,left,55
6332,left,55
6351,left,55
6372,left,55
6383,left,60
6398,left,60
6417,left,60
6435,left,60
6452,left,60
6470,left,60
6489,left,60
6507,left,60
6526,left,60
6543,left,60
6561,left,60
6579,left,60
6597,left,60
6615,left,60
6642,left,60
6654,left,60
6669,left,60
6688,left,60
6706,left,60
6724,left,60
6742,left,60
6760,left,60
6775,left,60
6792,left,60
6810,left,60
6829,left,60
6850,left,60
6868,left,60
6887,left,55
6905,left,55
6923,left,55
6941,left,55
6959,left,55
6977,left,55
6996,left,55
7014,left,55
7032,left,55
7049,left,55
7067,left,55
