timestamp,hand,angle
97,left,5
111,left,5
129,left,5
148,left,5
166,left,5
184,left,5
204,left,5
220,left,5
238,left,5
256,left,5
274,left,5
293,left,5
317,left,5
334,left,5
352,left,5
375,left,5
389,left,5
406,left,5
424,left,5
442,left,5
463,left,5
479,left,5
497,left,5
510,left,5
528,left,5
546,left,5
564,left,5
582,left,5
601,left,5
618,left,5
636,left,5
655,left,5
675,left,5
691,left,5
708,left,5
727,left,5
745,left,5
763,left,10
779,left,10
797,left,10
817,left,10
835,left,10
854,left,15
873,left,15
891,left,15
905,left,15
923,left,15
940,left,15
963,left,15
981,left,15
1000,left,20
1018,left,20
1035,left,20
1053,left,20
1071,left,20
1090,left,25
1108,left,25
1126,left,25
1144,left,25
1162,left,30
1180,left,30
1198,left,30
1216,left,30
1234,left,30
1252,left,30
1271,left,30
1289,left,35
1306,left,35
1325,left,35
1343,left,35
1361,left,35
1379,left,35
1397,left,35
1415,left,35
1433,left,30
1451,left,30
1470,left,25
1488,left,25
1505,left,25
1525,left,25
1542,left,25
1560,left,25
1577,left,25
1596,left,25
1614,left,30
1632,left,30
1650,left,30
1669,left,30
1688,left,30
1708,left,30
1723,left,30
1742,left,30
1759,left,35
1778,left,35
1793,left,35
1808,left,35
1827,left,35
1844,left,35
1866,left,35
1885,left,35
1902,left,35
1921,left,35
1939,left,35
1953,left,35
1971,left,35
1989,left,35
2007,left,35
2025,left,35
2043,left,35
2061,left,35
2080,left,35
2102,left,35
2120,left,35
2138,left,35
2156,left,35
2175,left,35
2193,left,35
2211,left,35
2229,left,35
2247,left,35
2301,left,35
2319,left,35
2338,left,35
2355,left,35
2373,left,35
2391,left,35
2409,left,35
2428,left,35
2446,left,35
2464,left,35
2482,left,35
2501,left,35
2515,left,35
2533,left,35
2551,left,35
2571,left,35
2588,left,35
2608,left,35
2627,left,35
2645,left,35
2663,left,35
2681,left,35
2698,left,35
2717,left,35
2736,left,35
2753,left,35
2771,left,35
2789,left,35
2808,left,30
2822,left,30
2840,left,30
2858,left,30
2879,left,30
2898,left,25
2916,left,25
2934,left,25
2952,left,25
2970,left,25
2989,left,25
3002,left,25
3020,left,25
3037,left,25
3055,left,30
3074,left,30
3096,left,30
3114,left,30
3132,left,25
3152,left,25
3169,left,25
3187,left,25
3204,left,25
3222,left,25
3241,left,25
3259,left,25
3277,left,25
3295,left,25
3313,left,20
3331,left,20
3348,left,20
3367,left,20
3386,left,20
3403,left,20
3422,left,20
3440,left,20
3457,left,20
3476,left,15
3494,left,15
3512,left,15
3532,left,15
3544,left,15
3563,left,15
3580,left,15
3599,left,15
3617,left,15
3635,left,10
3653,left,10
3671,left,10
3695,left,10
3713,left,10
3728,left,10
3746,left,10
3763,left,10
3782,left,5
3800,left,5
3818,left,5
3836,left,5
3854,left,5
3872,left,5
3890,left,5
3909,left,5
3926,left,5
3944,left,5
3963,left,5
3980,left,5
3999,left,5
4017,left,5
4035,left,5
4050,left,5
4068,left,5
4088,left,5
4106,left,5
4124,left,5
4142,left,5
4161,left,5
4179,left,5
4197,left,5
4215,left,5
4234,left,5
4251,left,5
4270,left,5
4287,left,5
4305,left,5
4323,left,5
4342,left,5
4360,left,5
4378,left,5
4396,left,5
4414,left,5
4431,left,5
4450,left,5
4468,left,5
4486,left,5
4504,left,5
4523,left,5
4544,left,5
4559,left,10
4577,left,10
4595,left,10
4613,left,10
4631,left,10
4649,left,10
4667,left,10
4685,left,10
4704,left,15
4721,left,15
4739,left,15
4758,left,15
4776,left,15
4794,left,15
4812,left,15
4830,left,20
4848,left,20
4866,left,20
4884,left,20
4902,left,20
4920,left,20
4938,left,20
4956,left,20
4975,left,25
4992,left,25
5011,left,25
5029,left,25
5047,left,25
5064,left,25
5084,left,25
5098,left,25
5116,left,25
5135,left,25
5156,left,25
5176,left,25
5194,left,25
5212,left,25
5230,left,25
5248,left,25
5267,left,25
5285,left,25
5306,left,25
5321,left,25
5336,left,25
5353,left,25
5374,left,25
5393,left,25
5412,left,25
5429,left,25
5448,left,25
5466,left,25
5483,left,25
5502,left,25
5520,left,25
5539,left,25
5557,left,25
5574,left,25
5592,left,30
5611,left,30
5628,left,30
5647,left,30
5662,left,30
5677,left,30
5701,left,30
5718,left,30
5733,left,30
5751,left,30
5770,left,30
5788,left,30
5805,left,30
5823,left,30
5842,left,30
5859,left,30
5878,left,30
5896,left,30
5914,left,30
5937,left,30
5953,left,30
5966,left,30
5984,left,30
6007,left,30
6024,left,30
6043,left,30
6060,left,30
6079,left,30
6097,left,30
6115,left,30
6133,left,30
6147,left,30
6165,left,30
6183,left,30
6202,left,30
6223,left,30
6241,left,30
6259,left,30
6277,left,30
6296,left,30
6313,left,30
6331,left,30
6350,left,30
6369,left,30
6386,left,30
6405,left,30
6423,left,30
6440,left,30
6458,left,30
6476,left,35
6494,left,35
6513,left,35
6531,left,35
6548,left,35
6567,left,35
6586,left,35
6603,left,35
6621,left,35
6639,left,35
6657,left,35
6675,left,35
6693,left,35
6711,left,35
6730,left,35
6749,left,35
6767,left,35
6784,left,35
6802,left,35
6816,left,35
6837,left,35
6856,left,35
6871,left,35
6889,left,35
6907,left,35
6926,left,35
6943,left,35
6961,left,35
6979,left,35
6998,left,35
7016,left,35
7033,left,35
7052,left,35
7070,left,35
