timestamp,hand,angle
41,left,15
58,left,15
78,left,15
97,left,15
114,left,15
133,left,15
151,left,15
169,left,15
187,left,15
205,left,15
223,left,15
241,left,15
259,left,15
280,left,15
300,left,15
316,left,15
335,left,15
353,left,15
372,left,15
389,left,15
407,left,15
425,left,20
444,left,20
461,left,20
479,left,20
498,left,20
516,left,20
533,left,25
551,left,25
570,left,25
587,left,25
605,left,30
623,left,30
638,left,35
655,left,35
672,left,35
690,left,40
712,left,40
730,left,40
748,left,40
766,left,40
785,left,40
803,left,45
820,left,45
838,left,45
857,left,45
874,left,45
893,left,45
911,left,50
929,left,50
947,left,50
966,left,50
983,left,50
1001,left,50
1020,left,50
1036,left,55
1053,left,55
1070,left,55
1088,left,55
1106,left,55
1128,left,55
1146,left,55
1165,left,55
1182,left,60
1201,left,60
1219,left,60
1235,left,60
1252,left,60
1270,left,60
1332,left,60
1353,left,65
1366,left,65
1384,left,65
1402,left,65
1423,left,65
1438,left,65
1458,left,65
1474,left,65
1492,left,65
1511,left,65
1530,left,65
1543,left,65
1561,left,65
1579,left,65
1597,left,65
1615,left,65
1633,left,65
1651,left,65
1669,left,65
1687,left,65
1705,left,65
1723,left,65
1742,left,65
1760,left,65
1778,left,65
1796,left,65
1813,left,65
1832,left,65
1850,left,65
1870,left,65
1887,left,65
1905,left,65
1922,left,65
1941,left,65
1958,left,65
1977,left,65
1993,left,60
2011,left,60
2029,left,60
2055,left,60
2072,left,60
2086,left,60
2103,left,55
2119,left,55
2137,left,55
2155,left,55
2176,left,55
2194,left,50
2213,left,50
2231,left,50
2248,left,50
2266,left,50
2284,left,50
2303,left,50
2321,left,45
2339,left,45
2357,left,45
2375,left,45
2393,left,40
2411,left,40
2429,left,40
2447,left,40
2466,left,40
2483,left,35
2502,left,35
2520,left,35
2537,left,35
2556,left,35
2574,left,35
2592,left,35
2610,left,30
2628,left,30
2646,left,30
2665,left,30
2682,left,25
2700,left,25
2718,left,25
2737,left,25
2754,left,25
2778,left,25
2794,left,25
2845,left,25
2868,left,25
2886,left,25
2904,left,20
2922,left,20
2941,left,20
2954,left,20
2972,left,20
2991,left,20
3008,left,20
3026,left,20
3045,left,20
3062,left,20
3081,left,20
3103,left,20
3121,left,20
3139,left,20
3153,left,20
3168,left,20
3186,left,20
3205,left,20
3225,left,20
3243,left,20
3261,left,20
3279,left,20
3297,left,20
3315,left,20
3334,left,15
3352,left,15
3369,left,20
3388,left,20
3406,left,20
3425,left,20
3442,left,25
3460,left,25
3478,left,30
3496,left,30
3514,left,30
3532,left,35
3550,left,35
3568,left,40
3586,left,40
3604,left,45
3622,left,45
3641,left,45
3659,left,45
3677,left,45
3695,left,45
3713,left,45
3731,left,45
3749,left,45
3768,left,40
3784,left,40
3801,left,40
3819,left,40
3837,left,40
3857,left,40
3876,left,45
3894,left,45
3912,left,45
3930,left,45
3948,left,45
3966,left,50
3984,left,50
4002,left,50
4020,left,50
4039,left,50
4057,left,55
4075,left,55
4092,left,55
4111,left,55
4129,left,55
4147,left,55
4165,left,55
4183,left,55
4201,left,60
4216,left,60
4234,left,60
4252,left,60
4273,left,60
4292,left,60
4309,left,60
4328,left,55
4345,left,55
4364,left,55
4382,left,55
4398,left,55
4416,left,55
4434,left,55
4452,left,60
4470,left,60
4490,left,60
4506,left,60
4524,left,60
4543,left,60
4561,left,60
4579,left,60
4597,left,65
4614,left,65
4633,left,65
4651,left,65
4669,left,65
4687,left,65
4705,left,65
4723,left,65
4741,left,65
4759,left,65
4784,left,65
4802,left,65
4820,left,65
4845,left,65
4857,left,65
4870,left,65
4887,left,65
4906,left,60
4925,left,60
4947,left,60
4965,left,60
4984,left,60
5002,left,60
5020,left,60
5042,left,60
5051,left,60
5068,left,60
5086,left,60
5106,left,60
5127,left,60
5146,left,60
5164,left,60
5182,left,55
5201,left,55
5219,left,55
5231,left,50
5250,left,50
5265,left,50
5284,left,50
5301,left,45
5320,left,45
5338,left,45
5356,left,45
5374,left,45
5392,left,45
5410,left,40
5428,left,40
5449,left,40
5467,left,40
5486,left,40
5501,left,40
5518,left,40
5539,left,40
5557,left,40
5575,left,40
5593,left,40
5611,left,40
5630,left,40
5646,left,40
5661,left,40
5680,left,40
5698,left,40
5719,left,35
5737,left,35
5756,left,35
5774,left,35
5792,left,35
5810,left,40
5828,left,40
5846,left,40
5864,left,35
5883,left,35
5900,left,35
5918,left,35
5937,left,35
5954,left,35
5973,left,35
5993,left,35
6011,left,35
6029,left,30
6047,left,30
6064,left,30
6079,left,30
6101,left,30
6120,left,25
6137,left,25
6155,left,25
6173,left,25
6192,left,25
6210,left,25
6224,left,25
6243,left,25
6267,left,20
6286,left,20
6306,left,20
6315,left,20
6333,left,20
6349,left,20
6367,left,20
6385,left,20
6408,left,20
6426,left,20
6444,left,20
6462,left,20
6483,left,20
6496,left,20
6514,left,20
6531,left,20
6549,left,20
6568,left,20
6586,left,20
6604,left,20
6623,left,20
6640,left,20
6658,left,20
6676,left,20
6695,left,20
6712,left,20
6730,left,20
6748,left,20
6767,left,20
6784,left,20
6803,left,20
6821,left,20
6839,left,20
6857,left,20
6875,left,20
6893,left,20
6911,left,20
6929,left,20
6948,left,20
6965,left,20
6983,left,20
7002,left,20
7020,left,20
