timestamp,hand,angle
4,Left,10
23,Left,10
40,Left,10
59,Left,10
76,Left,10
94,Left,10
113,Left,10
131,Left,10
149,Left,10
167,Left,10
185,Left,10
202,Left,10
221,Left,10
239,Left,10
259,Left,10
276,Left,10
293,Left,10
314,Left,10
332,Left,10
351,Left,10
368,Left,10
386,Left,10
404,Left,10
422,Left,10
441,Left,10
457,Left,10
476,Left,10
493,Left,10
511,Left,10
529,Left,10
548,Left,10
565,Left,10
583,Left,10
601,Left,10
620,Left,10
637,Left,10
655,Left,10
673,Left,10
691,Left,10
710,Left,10
728,Left,10
746,Left,10
766,Left,10
783,Left,10
802,Left,10
821,Left,10
837,Left,10
854,Left,10
872,Left,10
890,Left,10
908,Left,15
927,Left,15
945,Left,15
963,Left,15
983,Left,20
1000,Left,20
1017,Left,25
1035,Left,25
1053,Left,25
1071,Left,25
1097,Left,30
1107,Left,30
1129,Left,30
1143,Left,30
1161,Left,30
1179,Left,30
1197,Left,30
1216,Left,30
1234,Left,30
1251,Left,30
1270,Left,30
1288,Left,30
1306,Left,30
1324,Left,30
1342,Left,30
1360,Left,30
1378,Left,30
1396,Left,30
1415,Left,35
1432,Left,35
1450,Left,35
1468,Left,35
1486,Left,35
1504,Left,35
1523,Left,35
1541,Left,35
1559,Left,40
1577,Left,40
1595,Left,40
1613,Left,40
1631,Left,40
1653,Left,40
1670,Left,40
1688,Left,40
1705,Left,40
1721,Left,40
1740,Left,40
1758,Left,45
1777,Left,45
1794,Left,45
1813,Left,45
1831,Left,45
1849,Left,45
1867,Left,45
1885,Left,50
1902,Left,50
1958,Right,50
1975,Right,50
1993,Right,50
2011,Right,50
2028,Right,50
2047,Right,55
2066,Right,55
2083,Right,55
2101,Right,55
2120,Right,55
2138,Right,55
2155,Right,55
2174,Right,55
2192,Right,55
2210,Right,55
2227,Right,55
2246,Right,55
2264,Right,55
2282,Right,55
2300,Right,55
2318,Right,55
2336,Right,55
2354,Right,55
2372,Right,55
2390,Right,55
2408,Right,55
2427,Right,55
2445,Right,55
2464,Right,55
2481,Right,55
2499,Right,55
2517,Right,55
2536,Right,50
2554,Right,50
2572,Right,50
2589,Right,50
2607,Right,50
2626,Right,50
2644,Right,55
2662,Right,55
2682,Right,55
2698,Right,55
2716,Right,50
2734,Right,50
2752,Right,50
