timestamp,hand,angle
70,left,25
86,left,25
104,left,25
127,left,25
146,left,25
159,left,25
178,left,25
195,left,25
213,left,25
231,left,25
249,left,25
267,left,25
285,left,25
303,left,25
322,left,25
340,left,25
358,left,25
376,left,25
394,left,25
412,left,25
430,left,25
448,left,25
466,left,25
489,left,25
507,left,25
525,left,25
544,left,25
562,left,25
619,right,10
634,right,5
654,right,20
669,right,25
687,right,30
706,right,30
724,right,25
743,right,25
760,right,25
780,right,25
796,right,20
815,right,20
834,right,20
848,right,25
865,right,35
882,right,40
901,right,35
919,left,45
937,left,30
955,left,30
973,left,30
992,left,35
1010,left,35
1028,left,35
1046,left,35
1062,left,40
1080,left,40
1098,left,40
1116,left,40
1134,left,40
1154,left,40
1173,left,45
1191,left,45
1209,left,45
1227,left,45
1244,left,45
1262,left,45
1281,left,45
1299,left,50
1317,left,50
1334,left,50
1353,left,50
1371,left,50
1390,left,50
1408,left,50
1426,left,50
1443,left,55
1462,left,55
1480,left,55
1497,left,55
1516,left,55
1534,left,55
1552,left,55
1570,left,55
1588,left,55
1606,left,55
1624,left,55
1643,left,60
1661,left,60
1679,left,60
1698,left,60
1715,left,60
1732,left,60
1751,left,60
1769,left,60
1787,left,60
1810,left,60
1826,left,60
1841,left,60
1860,left,60
1877,left,60
1895,left,60
1913,left,60
1932,left,60
1949,left,60
1967,left,60
1986,left,60
2003,left,60
2022,left,55
2041,left,55
2058,left,55
2075,left,55
2131,left,40
2146,left,55
2165,left,60
2183,left,60
2204,left,60
2222,left,60
2241,left,60
2258,left,60
2277,left,60
2294,left,60
2315,left,60
2330,left,55
2348,left,55
2366,left,55
2385,left,55
2403,left,60
2457,left,60
2475,left,60
2493,left,60
2512,left,60
2530,left,60
2547,left,60
2565,left,55
2584,left,55
2601,left,55
2620,left,55
2638,left,55
2656,left,55
2674,left,55
2692,left,60
2710,left,60
2728,left,60
2747,left,60
2762,left,60
2780,left,60
2805,left,60
2822,left,65
2839,left,65
2860,left,65
2875,left,65
2897,left,65
2911,left,65
2930,left,65
2954,left,65
2966,left,65
2979,left,65
2997,left,65
3016,left,65
3034,left,65
3053,left,65
3070,left,65
3089,left,65
3106,left,65
3125,left,65
3143,left,65
3163,left,65
3178,left,65
3195,left,65
3213,left,65
3231,left,65
3251,left,65
3269,left,65
3288,left,65
3306,left,65
3324,left,65
3342,left,65
3360,left,65
3376,left,65
3394,left,65
3412,left,65
3434,left,65
3452,left,65
3470,left,65
3488,left,65
3506,left,65
3525,left,65
3544,left,65
3561,left,65
3579,left,65
3597,left,65
3614,left,65
3632,left,65
3651,left,65
3668,left,65
3687,left,65
3705,left,65
3723,left,65
3741,left,65
3760,left,65
3778,left,65
3796,left,65
3813,left,65
3832,left,65
3849,left,65
3870,left,65
3886,left,65
3904,left,65
3922,left,65
3941,left,65
3958,left,65
3976,left,65
3995,left,65
4014,left,65
4028,left,65
4045,left,65
4063,left,65
4082,left,65
4100,left,65
4118,left,65
4135,left,65
4153,left,65
4175,left,65
4194,left,65
4213,left,65
4228,left,65
4244,left,65
4261,left,65
4279,left,65
4303,left,65
4355,left,65
4374,left,65
4392,left,65
4410,left,65
4429,left,65
4447,left,65
4464,left,65
4482,left,65
4501,left,65
4518,left,65
4536,left,65
4555,left,65
4572,left,65
4591,left,65
4609,left,65
4627,left,65
4646,left,65
4663,left,65
4682,left,65
4700,left,65
4718,left,65
4735,left,65
4753,left,65
4771,left,65
4790,left,65
4808,left,65
4826,left,65
4844,left,65
4862,left,65
4881,left,65
4900,left,65
4916,left,65
4934,left,65
4952,left,65
4970,left,65
4989,left,65
5007,left,65
5025,left,65
5043,left,65
5061,left,65
5079,left,65
5099,left,65
5116,left,65
5130,left,65
5147,left,65
5169,left,65
5187,left,65
5205,left,65
5223,left,65
5242,left,65
5262,left,65
5277,left,65
5293,left,65
5311,left,65
5332,left,65
5347,left,65
5365,left,65
5384,left,65
5404,left,65
5422,left,65
5440,left,65
5458,left,65
5476,left,65
5494,left,65
5512,left,65
5530,left,65
5549,left,65
5567,left,65
5584,left,65
5602,left,65
5621,left,65
5640,left,65
5658,left,65
5676,left,65
5693,left,65
5712,left,65
5729,left,65
5748,left,65
5765,left,65
5783,left,65
5802,left,65
5820,left,65
5837,left,65
5856,left,65
5875,left,65
5892,left,65
5910,left,65
5928,left,65
5946,left,65
5964,left,65
5982,left,65
6000,left,65
6018,left,65
6036,left,65
6055,left,65
6072,left,65
6091,left,65
6109,left,65
6128,left,65
6145,left,65
6159,left,65
6178,left,65
6196,left,65
6214,left,65
6231,left,65
6254,left,65
6271,left,65
6290,left,65
6312,left,65
6327,left,65
6341,left,65
6359,left,65
6377,left,65
6395,left,65
6413,left,65
6431,left,65
6449,left,65
6467,left,65
6485,left,65
6503,left,65
6523,left,65
6543,left,65
6562,left,65
6580,left,65
6598,left,65
6615,left,65
6635,left,65
6652,left,65
6671,left,65
6689,left,65
6707,left,65
6722,left,65
6740,left,65
6758,left,65
6776,left,65
6794,left,65
6815,left,65
6833,left,65
6851,left,65
6868,left,65
6883,left,65
6906,left,65
6927,left,65
6939,left,65
6956,left,65
6975,left,65
6997,left,65
7015,left,65
7029,left,65
7048,left,65
