timestamp,hand,angle
1,Left,20
20,Left,20
37,Left,20
56,Left,20
73,Left,20
91,Left,20
109,Left,20
127,Left,20
145,Left,20
164,Left,20
181,Left,20
199,Left,20
218,Left,20
236,Left,20
254,Left,20
271,Left,20
293,Left,20
312,Left,20
328,Left,20
345,Left,20
363,Left,20
381,Left,20
398,Left,20
416,Left,20
434,Left,20
452,Left,20
471,Left,20
488,Left,20
507,Left,20
525,Left,20
543,Left,20
561,Left,20
579,Left,20
597,Left,20
615,Left,20
633,Left,20
652,Left,20
670,Left,20
688,Left,20
705,Left,20
725,Left,20
742,Left,20
760,Left,20
779,Left,20
796,Left,20
814,Left,20
832,Left,25
851,Left,25
868,Left,25
886,Left,25
905,Left,25
923,Left,25
941,Left,25
959,Left,25
977,Left,25
995,Left,25
1013,Left,25
1031,Left,30
1049,Left,30
1068,Left,30
1086,Left,30
1104,Left,30
1121,Left,30
1140,Left,30
1163,Left,30
1176,Left,30
1202,Left,30
1212,Left,30
1230,Left,30
1248,Left,30
1266,Left,30
1284,Left,30
1302,Left,30
1320,Left,30
1341,Left,30
1360,Left,35
1376,Left,35
1393,Left,35
1411,Left,35
1430,Left,35
1447,Left,35
1465,Left,35
1483,Left,35
1501,Left,35
1519,Left,35
1537,Left,35
1556,Left,35
1574,Left,35
1592,Left,35
1610,Left,35
1629,Left,35
1646,Left,35
1663,Left,35
1682,Left,35
1700,Left,40
1718,Left,40
1736,Left,40
1755,Left,40
1773,Left,40
1791,Left,40
1809,Left,40
1827,Left,45
1845,Left,45
1862,Left,45
1881,Left,45
1898,Left,45
1917,Left,45
1935,Left,45
1953,Left,45
1971,Left,45
1990,Left,50
2008,Left,50
2027,Left,50
2044,Left,50
2062,Left,50
2079,Left,50
2097,Left,50
2116,Left,50
2134,Left,50
2152,Left,50
2170,Left,50
2188,Left,50
2206,Left,50
2225,Left,50
2243,Left,50
2260,Left,50
2278,Left,50
2296,Left,50
2314,Left,50
2333,Left,50
2351,Left,50
2368,Left,55
2387,Left,55
2405,Left,55
2424,Left,55
2442,Left,55
2459,Left,55
2477,Left,55
2495,Left,55
2513,Left,55
2531,Left,55
2549,Left,55
2568,Left,55
2586,Left,55
2605,Left,60
2622,Left,60
2641,Left,60
2660,Left,60
2677,Left,60
2694,Left,60
2712,Left,60
2730,Left,60
2749,Left,60
2767,Left,60
2785,Left,60
2803,Left,60
2822,Left,60
2839,Left,60
2857,Left,60
2876,Left,60
2893,Left,60
2911,Left,60
2931,Left,60
2949,Left,60
2967,Left,60
2985,Left,60
3003,Left,60
3020,Left,60
3039,Left,60
3058,Left,60
3076,Left,60
3092,Left,60
3110,Left,60
3129,Left,60
3147,Left,60
3165,Left,60
3183,Left,60
3201,Left,60
3219,Left,60
3236,Left,60
3254,Left,60
3274,Left,60
3291,Left,60
3310,Left,60
3327,Left,60
3345,Left,60
3363,Left,60
3382,Left,60
3403,Left,60
3424,Left,60
3436,Left,60
3453,Left,60
3471,Left,60
3490,Left,60
3508,Left,60
3526,Left,60
3544,Left,60
3561,Left,60
3580,Left,60
3598,Left,60
3616,Left,60
3636,Left,60
3655,Left,60
3675,Left,60
3692,Left,60
3709,Left,60
3727,Left,60
3743,Left,60
3761,Left,60
3779,Left,60
3797,Left,60
3815,Left,60
3836,Left,60
3854,Left,60
3872,Left,60
3890,Left,60
3909,Left,60
3924,Left,60
3942,Left,60
3960,Left,60
3978,Left,60
3996,Left,60
4014,Left,60
4032,Left,60
4050,Left,60
4069,Left,60
4087,Left,60
4104,Left,60
4124,Left,60
4142,Left,60
4160,Left,60
4178,Left,60
4196,Left,60
4213,Left,60
4231,Left,60
4249,Left,60
4267,Left,60
4285,Left,60
4303,Left,60
4322,Left,60
4340,Left,60
4358,Left,60
4376,Left,60
4394,Left,60
4411,Left,60
4430,Left,60
4448,Left,60
4466,Left,60
4483,Left,60
4502,Left,60
4520,Left,60
4539,Left,60
4556,Left,60
4575,Left,60
4593,Left,60
4610,Left,60
4629,Left,60
4647,Left,60
4665,Left,60
4683,Left,60
4701,Left,55
4719,Left,55
4736,Left,55
4755,Left,55
4774,Left,55
4792,Left,55
4809,Left,55
4827,Left,55
4845,Left,55
4864,Left,50
4882,Left,50
4900,Left,50
4918,Left,50
4937,Left,50
4956,Left,50
4973,Left,45
4990,Left,45
5008,Left,45
5026,Left,45
5045,Left,45
5063,Left,45
5080,Left,45
5099,Left,45
5117,Left,45
5136,Left,45
5153,Left,40
5172,Left,40
5189,Left,40
5207,Left,40
5226,Left,40
5244,Left,40
5262,Left,40
5280,Left,40
5298,Left,40
5316,Left,35
5333,Left,35
5351,Left,35
5369,Left,35
5388,Left,35
5406,Left,35
5425,Left,35
5442,Left,35
5460,Left,30
5479,Left,30
5496,Left,30
5514,Left,30
5532,Left,30
5551,Left,30
5569,Left,30
5588,Left,30
5605,Left,30
5623,Left,30
5642,Left,30
5660,Left,30
5677,Left,30
5696,Left,30
5714,Left,30
5732,Left,30
5750,Left,30
5768,Left,30
5786,Left,30
5804,Left,30
5822,Left,25
5840,Left,25
5858,Left,25
5875,Left,25
5894,Left,25
5912,Left,25
5930,Left,25
5948,Left,25
5966,Left,25
5984,Left,25
6002,Left,25
6020,Left,25
6039,Left,25
6057,Left,25
6075,Left,20
6093,Left,20
6111,Left,20
6129,Left,20
6147,Left,20
6165,Left,20
6183,Left,20
6201,Left,20
6219,Left,20
6237,Left,20
6255,Left,20
6275,Left,20
6300,Left,15
6319,Left,15
6336,Left,15
6355,Left,15
6373,Left,15
6391,Left,15
6409,Left,15
6427,Left,15
6445,Left,15
6463,Left,15
6481,Left,15
6499,Left,15
6518,Left,15
6535,Left,20
6553,Left,20
6571,Left,20
6592,Left,20
6609,Left,20
6626,Left,20
6644,Left,20
6662,Left,20
6681,Left,20
6698,Left,20
6716,Left,20
6734,Left,20
6752,Left,20
6771,Left,20
6790,Left,20
6809,Left,20
6826,Left,20
6843,Left,20
6861,Left,20
6879,Left,20
6897,Left,20
6915,Left,20
6933,Left,20
6951,Left,20
6969,Left,20
6987,Left,20
7006,Left,20
7024,Left,20
7043,Left,20
7060,Left,20
7078,Left,15
7096,Left,15
7114,Left,15
7132,Left,15
7150,Left,15
7168,Left,15
7186,Left,15
7204,Left,15
7223,Left,15
7241,Left,15
7259,Left,15
7277,Left,15
7295,Left,15
7313,Left,15
7330,Left,15
7349,Left,15
7367,Left,15
7385,Left,15
7403,Left,15
7422,Left,15
7440,Left,15
7458,Left,15
7475,Left,15
7494,Left,15
