timestamp,hand,angle
53,left,20
69,left,20
87,left,20
106,left,20
124,left,20
142,left,20
160,left,20
178,left,20
198,left,20
216,left,20
234,left,20
252,left,20
271,left,20
288,left,25
308,left,25
325,left,20
343,left,20
361,left,20
379,left,20
398,left,20
415,left,20
433,left,20
451,left,20
470,left,20
487,left,20
506,left,20
524,left,20
542,left,20
560,left,20
580,left,20
596,left,20
614,left,20
632,left,20
650,left,20
669,left,20
686,left,20
705,left,20
723,left,20
741,left,20
759,left,20
777,left,20
795,left,20
813,left,20
831,left,20
848,left,20
865,left,20
883,left,20
901,left,20
919,left,20
938,left,20
961,left,20
979,left,20
997,left,20
1014,left,20
1032,left,20
1049,left,20
1068,left,20
1086,left,20
1104,left,20
1123,left,20
1145,left,20
1155,left,20
1172,left,25
1190,left,25
1210,left,25
1228,left,25
1249,left,25
1265,left,25
1283,left,25
1301,left,25
1319,left,25
1337,left,25
1356,left,25
1371,left,25
1391,left,25
1410,left,25
1430,left,25
1446,left,30
1464,left,30
1482,left,30
1503,left,30
1519,left,30
1536,left,35
1555,left,35
1572,left,35
1592,left,35
1609,left,40
1628,left,40
1645,left,40
1664,left,40
1681,left,40
1699,left,40
1717,left,45
1735,left,45
1753,left,45
1771,left,45
1790,left,45
1808,left,45
1825,left,45
1844,left,45
1862,left,45
1880,left,45
1898,left,45
1916,left,45
1934,left,45
1952,left,50
1970,left,50
1988,left,50
2004,left,50
2024,left,50
2044,left,50
2061,left,50
2079,left,50
2096,left,50
2115,left,50
2132,left,50
2151,left,55
2170,left,55
2189,left,55
2203,left,55
2221,left,55
2239,left,55
2257,left,55
2275,left,55
2293,left,55
2311,left,55
2334,left,55
2350,left,55
2369,left,55
2386,left,55
2405,left,55
2424,left,60
2441,left,60
2457,left,60
2475,left,60
2493,left,60
2510,left,60
2528,left,60
2547,left,60
2568,left,60
2586,left,60
2604,left,60
2622,left,60
2643,left,60
2661,left,60
2676,left,60
2695,left,60
2713,left,60
2730,left,60
2749,left,60
2768,left,60
2786,left,60
2803,left,60
2820,left,60
2839,left,60
2857,left,60
2875,left,60
2894,left,60
2911,left,60
2929,left,60
2947,left,60
2965,left,60
2983,left,60
3003,left,60
3021,left,60
3037,left,60
3056,left,60
3075,left,60
3092,left,60
3110,left,60
3128,left,60
3146,left,60
3164,left,60
3182,left,60
3202,left,60
3219,left,60
3233,left,60
3250,left,60
3268,left,60
3287,left,60
3305,left,60
3327,left,60
3345,left,60
3364,left,60
3381,left,60
3399,left,60
3417,left,60
3435,left,60
3453,left,60
3471,left,60
3490,left,60
3507,left,60
3528,left,60
3544,left,60
3562,left,60
3580,left,60
3598,left,60
3615,left,60
3634,left,60
3652,left,60
3670,left,60
3688,left,60
3707,left,60
3724,left,60
3743,left,60
3761,left,60
3780,left,60
3798,left,60
3815,left,60
3833,left,65
3850,left,65
3865,left,65
3887,left,65
3905,left,65
3924,left,65
3942,left,65
3959,left,65
3979,left,65
3997,left,65
4013,left,65
4032,left,65
4050,left,65
4068,left,65
4086,left,65
4103,left,65
4122,left,65
4142,left,65
4158,left,60
4177,left,60
4195,left,60
4212,left,60
4230,left,60
4245,left,60
4264,left,60
4281,left,55
4300,left,55
4317,left,55
4335,left,55
4353,left,55
4372,left,55
4390,left,50
4408,left,50
4426,left,50
4445,left,50
4462,left,50
4481,left,50
4498,left,50
4516,left,50
4534,left,50
4553,left,45
4570,left,45
4589,left,45
4607,left,45
4625,left,45
4643,left,45
4661,left,45
4681,left,45
4696,left,45
4715,left,45
4733,left,45
4756,left,45
4775,left,40
4789,left,40
4808,left,40
4826,left,40
4844,left,40
4863,left,40
4880,left,40
4898,left,40
4916,left,40
4934,left,40
4952,left,40
4970,left,40
4989,left,40
5007,left,35
5025,left,35
5043,left,35
5061,left,35
5083,left,35
5099,left,35
5113,left,35
5131,left,35
5151,left,35
5169,left,35
5187,left,35
5205,left,30
5225,left,30
5243,left,30
5260,left,30
5276,left,30
5294,left,30
5312,left,30
5330,left,30
5348,left,30
5367,left,30
5384,left,30
5402,left,30
5425,left,30
5442,left,30
5462,left,30
5478,left,30
5497,left,30
5514,left,30
5532,left,30
5551,left,30
5568,left,30
5587,left,30
5604,left,30
5623,left,30
5643,left,30
5657,left,30
5676,left,30
5693,left,30
5711,left,30
5728,left,30
5749,left,30
5768,left,30
5785,left,30
5804,left,30
5821,left,30
5841,left,30
5859,left,30
5878,left,30
5895,left,30
5914,left,30
5930,left,30
5948,left,30
5966,left,30
5984,left,30
6002,left,30
6021,left,30
6039,left,30
6057,left,30
6076,left,30
6093,left,30
6112,left,30
6129,left,30
6147,left,30
6165,left,30
6184,left,30
6199,left,30
6216,left,30
6238,left,30
6258,left,30
6276,left,30
6295,left,30
6309,left,30
6325,left,30
6343,left,30
6362,left,30
6378,left,30
6395,left,30
6414,left,30
6435,left,30
6453,left,30
6471,left,30
6490,left,30
6508,left,30
6526,left,30
6544,left,30
6562,left,30
6580,left,30
6598,left,30
6614,left,30
6632,left,30
6650,left,30
6668,left,30
6686,left,30
6704,left,30
6722,left,30
6741,left,30
6759,left,30
6777,left,30
6800,left,30
6817,left,30
6835,left,30
6853,left,30
6872,left,30
6891,left,30
6908,left,30
6926,left,30
6982,right,25
7000,right,15
7016,right,20
7031,right,15
