timestamp,hand,pinchStrength,finger,distance
6,Left,0,index,73.93897
25,Left,0,index,73.56058
43,Left,0,index,73.02998
62,Left,0,index,72.82076
79,Left,0,index,72.7878
98,Left,0,index,72.73085
115,Left,0,index,72.64445
133,Left,0,index,72.55013
151,Left,0,index,72.51281
170,Left,0,index,72.47939
187,Left,0,index,72.64059
206,Left,0,index,73.04401
225,Left,0,index,73.35154
244,Left,0,index,73.70214
262,Left,0,index,74.10349
281,Left,0,index,74.66894
298,Left,0,index,75.19625
314,Left,0,index,75.70733
332,Left,0,index,76.37587
350,Left,0,index,76.94608
369,Left,0,index,77.58942
387,Left,0,index,78.25653
407,Left,0,index,79.03866
424,Left,0,index,79.75834
442,Left,0,index,80.61752
461,Left,0,index,81.72008
479,Left,0,index,82.92474
498,Left,0,index,84.0419
514,Left,0,index,85.25871
530,Left,0,index,86.10443
549,Left,0,index,86.95359
567,Left,0,index,87.82819
585,Left,0,index,88.70116
603,Left,0,index,89.59206
622,Left,0,index,90.34069
679,Left,0,index,84.08813
696,Left,0,index,82.60216
715,Left,0,index,86.29123
731,Left,0,index,85.54366
748,Left,0,index,83.13433
766,Left,0,index,79.26772
785,Left,0,index,73.92348
803,Left,0,index,67.87474
821,Left,0,index,61.78324
839,Left,0,index,56.04174
857,Left,0.07392638,index,50.96178
875,Left,0.2047095,index,46.088
894,Left,0.3211447,index,41.7364
913,Left,0.443374,index,37.24574
929,Left,0.6113678,index,31.23119
949,Left,0.761809,index,26.12222
965,Left,0.8885413,index,22.22434
983,Left,0.9895066,index,19.5233
1001,Left,1,index,17.97416
1019,Left,1,index,17.13363
1037,Left,1,index,17.06249
1055,Left,1,index,17.10124
1073,Left,1,index,17.66018
1127,Left,1,index,21.17484
1145,Left,1,index,22.08366
1163,Left,1,index,23.02563
1182,Left,1,index,23.54429
1199,Left,1,index,23.79077
1218,Left,0.9838694,index,25.95219
1236,Left,0.9205841,index,28.13149
1254,Left,0.8705766,index,29.87248
1271,Left,0.8324689,index,31.19296
1290,Left,0.8044592,index,32.15004
1308,Left,0.7834828,index,32.86292
1327,Left,0.7701252,index,33.30116
1345,Left,0.762574,index,33.53424
1363,Left,0.7586356,index,33.64259
1380,Left,0.7571251,index,33.66761
1398,Left,0.7613757,index,33.48917
1416,Left,0.7674881,index,33.24657
1435,Left,0.7746814,index,32.97818
1453,Left,0.7817767,index,32.70609
1471,Left,0.7877727,index,32.47544
1489,Left,0.7914698,index,32.33574
1507,Left,0.7952846,index,32.19209
1525,Left,0.7995094,index,32.03512
1544,Left,0.8018258,index,31.96087
1563,Left,0.8033104,index,31.91586
1579,Left,0.8036998,index,31.91356
1597,Left,0.802623,index,31.96204
1615,Left,0.8002312,index,32.04673
1633,Left,0.7964753,index,32.16611
1651,Left,0.7934895,index,32.23481
1670,Left,0.8636087,index,29.45441
1688,Left,0.9372543,index,26.56304
1705,Left,1,index,24.00548
1724,Left,1,index,21.721
1742,Left,1,index,19.40372
1760,Left,1,index,17.00455
1778,Left,1,index,14.98867
1796,Left,1,index,14.08761
1814,Left,1,index,14.30759
1832,Left,1,index,15.9583
1850,Left,0.9286503,index,18.92807
1869,Left,0.8086129,index,22.86231
1887,Left,0.680637,index,27.39641
1908,Left,0.5497642,index,32.18551
1927,Left,0.4163507,index,37.14615
1946,Left,0.2773919,index,42.36699
1965,Left,0.126534,index,48.08664
1978,Left,0,index,53.99158
1996,Left,0,index,59.9237
2013,Left,0,index,64.93977
2031,Left,0,index,69.29771
2049,Left,0,index,73.26504
2068,Left,0,index,77.17902
2085,Left,0,index,81.03393
2103,Left,0,index,84.45103
2122,Left,0,index,87.16311
2140,Left,0,index,89.48904
2157,Left,0,index,91.13106
2176,Left,0,index,92.69716
2194,Left,0,index,94.06481
2213,Left,0,index,95.20634
2230,Left,0,index,96.06464
2248,Left,0,index,96.98431
2266,Left,0,index,97.95931
2286,Left,0,index,99.01347
2304,Left,0,index,100.0947
2322,Left,0,index,101.0566
2341,Left,0,index,101.7927
2360,Left,0,index,102.2529
2379,Left,0,index,102.5752
2395,Left,0,index,102.6059
2412,Left,0,index,102.6017
2429,Left,0,index,102.3631
2447,Left,0,index,102.0873
2465,Left,0,index,101.6606
2484,Left,0,index,101.3116
2501,Left,0,index,100.7073
2519,Left,0,index,99.89347
2537,Left,0,index,99.05058
2555,Left,0,index,98.32851
2574,Left,0,index,97.46282
2593,Left,0,index,96.36049
2611,Left,0,index,94.80629
2629,Left,0,index,91.67042
2647,Left,0,index,88.4301
2664,Left,0,index,84.27584
2684,Left,0,index,79.62952
2701,Left,0,index,75.68783
2718,Left,0,middle,68.25239
2737,Left,0,middle,53.65131
2755,Left,0.2867372,middle,41.53645
2772,Left,0.5570431,middle,31.4969
2791,Left,0.8251719,middle,21.5817
2810,Left,1,middle,12.78707
2827,Left,1,middle,5.239533
2845,Left,1,middle,3.314064
2863,Left,1,middle,7.873943
2881,Left,1,middle,13.71581
2899,Left,1,middle,15.92748
2916,Left,1,middle,16.95807
2935,Left,1,middle,17.12667
2955,Left,1,middle,16.36259
2973,Left,1,middle,14.7316
2992,Left,1,middle,12.53076
3008,Left,1,middle,10.61104
3026,Left,1,middle,9.071763
3044,Left,1,middle,7.897759
3065,Left,1,middle,6.736051
3082,Left,1,middle,5.907085
3098,Left,1,middle,5.300062
3116,Left,1,middle,4.829648
3134,Left,1,middle,4.558204
3153,Left,1,middle,4.43419
3171,Left,1,middle,4.480591
3188,Left,1,middle,4.366132
3207,Left,1,middle,4.168968
3224,Left,1,middle,3.999346
3243,Left,1,middle,3.918055
3262,Left,1,middle,3.701151
3278,Left,1,middle,3.475219
3297,Left,1,middle,3.41697
3315,Left,1,middle,3.414633
3336,Left,1,middle,3.512445
3353,Left,1,middle,3.539348
3369,Left,1,middle,3.677229
3387,Left,1,middle,3.806676
3405,Left,1,middle,3.794906
3424,Left,1,middle,3.815847
3442,Left,1,middle,3.922065
3460,Left,1,middle,4.042957
3477,Left,1,middle,4.191872
3495,Left,1,middle,4.369506
3513,Left,1,middle,4.578193
3532,Left,1,middle,4.787353
3560,Left,0.7528898,pinky,26.70431
3588,Left,0.5104448,index,36.48379
3607,Left,0.3079143,index,42.8338
3625,Left,0.5088795,index,34.97752
3643,Left,0.4586632,index,35.10586
3659,Left,0.4858061,index,34.48212
3677,Left,0.5551608,index,31.50621
3696,Left,0.6038759,index,29.50777
3713,Left,0.6160526,index,29.2373
3731,Left,0.7487645,index,24.47376
3749,Left,0.7258358,index,26.25106
3768,Left,0.8158726,index,22.82441
3787,Left,0.8314974,index,22.45943
3805,Left,0.9668759,index,17.8108
3823,Left,1,index,16.59984
3839,Left,1,index,16.27231
3858,Left,1,index,18.61261
3875,Left,0.9672414,index,21.95338
3894,Left,1,index,16.10097
3912,Left,1,index,19.63424
3932,Left,0.9399912,index,23.1169
3952,Left,0.8770835,index,24.44879
3967,Left,0.8530197,index,24.05329
3984,Left,0.8182085,index,24.43176
4002,Left,0.806899,index,24.25856
4019,Left,0.808915,index,23.80817
4038,Left,0.8220934,index,23.05658
4058,Left,0.8439943,index,22.03338
4074,Left,0.8691424,index,20.92552
4094,Left,0.9017856,index,19.54886
4111,Left,0.9400222,index,18.07583
4130,Left,0.9552245,index,17.5411
4148,Left,0.9405329,index,18.36474
4165,Left,0.9136845,index,19.39194
4184,Left,0.8950946,index,20.15148
4202,Left,0.8783464,index,20.82725
4221,Left,0.8611875,index,21.79575
4239,Left,0.8096598,index,23.9718
4256,Left,0,index,97.16154
4273,Left,0,index,96.83492
4291,Left,0,index,96.48429
4309,Left,0,index,96.37281
4327,Left,0,index,96.27399
4345,Left,0,index,96.02941
4363,Left,0,index,95.80103
4381,Left,0,index,95.33718
4399,Left,0,index,94.51957
4417,Left,0,index,93.0455
4436,Left,0,index,90.88626
4453,Left,0,index,87.84299
4471,Left,0,index,84.93427
4490,Left,0,index,83.10054
4507,Left,0,index,81.50562
4528,Left,0,index,80.63839
4550,Left,0,middle,77.21296
4563,Left,0,middle,73.50966
4580,Left,0,ring,70.23225
4598,Left,0,ring,62.74105
