timestamp;hand;angle
51;left;15
66;left;15
84;left;15
102;left;15
120;left;15
138;left;15
156;left;15
175;left;15
192;left;15
210;left;15
228;left;15
246;left;15
264;left;10
283;left;10
301;left;10
319;left;10
336;left;10
355;left;10
373;left;10
392;left;10
409;left;10
428;left;10
445;left;10
463;left;10
482;left;10
499;left;10
517;left;10
536;left;10
553;left;10
572;left;10
590;left;10
608;left;10
627;left;10
644;left;10
665;left;10
683;left;10
701;left;10
719;left;10
738;left;10
756;left;10
775;left;10
792;left;10
811;left;10
828;left;10
848;left;10
864;left;10
882;left;10
900;left;10
918;left;10
936;left;10
955;left;10
972;left;10
995;left;10
1009;left;10
1027;left;10
1045;left;15
1063;left;15
1082;left;15
1099;left;15
1117;left;15
1135;left;20
1153;left;20
1171;left;20
1189;left;20
1208;left;20
1226;left;20
1244;left;25
1261;left;25
1277;left;25
1296;left;25
1313;left;30
1333;left;30
1349;left;30
1368;left;30
1386;left;30
1404;left;30
1422;left;30
1442;left;30
1462;left;30
1481;left;30
1499;left;30
1517;left;30
1536;left;30
1555;left;30
1568;left;30
1586;left;35
1604;left;35
1622;left;35
1640;left;35
1656;left;30
1675;left;30
1694;left;30
1711;left;30
1729;left;30
1750;left;30
1769;left;30
1787;left;30
1805;left;35
1823;left;30
1839;left;30
1856;left;30
1875;left;30
1895;left;30
1913;left;35
1932;left;35
1949;left;35
1968;left;35
1986;left;35
2005;left;35
2020;left;35
2038;left;35
2056;left;35
2074;left;35
2092;left;35
2110;left;35
2128;left;35
2146;left;35
2164;left;35
2183;left;35
2201;left;35
2218;left;35
2236;left;35
2254;left;35
2273;left;35
2291;left;35
2309;left;35
2329;left;35
2350;left;35
2366;left;35
2381;left;35
2398;left;35
2416;left;35
2435;left;35
2453;left;35
2471;left;35
2489;left;35
2508;left;35
2525;left;35
2543;left;35
2562;left;35
2579;left;35
2597;left;35
2621;left;35
2639;left;35
2656;left;35
2673;left;35
2689;left;35
2707;left;35
2727;left;35
2743;left;35
2762;left;35
2780;left;35
2797;left;35
2815;left;35
2834;left;35
2853;left;35
2870;left;30
2887;left;30
2907;left;30
2924;left;30
2942;left;30
2960;left;30
2978;left;30
2996;left;30
3014;left;30
3033;left;30
3051;left;30
3069;left;30
3086;left;25
3105;left;25
3123;left;25
3141;left;25
3159;left;25
3177;left;20
3195;left;20
3216;left;20
3235;left;15
3253;left;15
3272;left;15
3291;left;10
3304;left;10
3322;left;10
3339;left;10
3358;left;10
3375;left;10
3394;left;10
3412;left;10
3430;left;10
3448;left;10
3470;left;5
3489;left;5
3507;left;5
3524;left;10
3543;left;10
3560;left;10
3580;left;10
3594;left;10
3609;left;10
3627;left;10
3648;left;10
3667;left;10
3685;left;10
3703;left;10
3721;left;10
3740;left;10
3755;left;10
3774;left;10
3791;left;10
3809;left;10
3827;left;10
3847;left;10
3865;left;10
3884;left;10
3902;left;10
3920;left;10
3938;left;10
3957;left;10
3975;left;10
3992;left;10
4010;left;10
4029;left;10
4047;left;10
4062;left;10
4081;left;10
4100;left;10
4118;left;10
4137;left;10
4155;left;10
4174;left;10
4192;left;10
4209;left;10
4227;left;10
4245;left;10
4263;left;10
4282;left;10
4300;left;10
4318;left;10
4335;left;15
4354;left;15
4374;left;15
4388;left;15
4405;left;15
4423;left;15
4441;left;15
4459;left;15
4477;left;15
4495;left;15
4513;left;20
4537;left;20
4553;left;20
4572;left;20
4590;left;20
4610;left;20
4623;left;20
4640;left;20
4658;left;20
4676;left;20
4694;left;20
4712;left;20
4731;left;20
4749;left;20
4766;left;20
4785;left;20
4803;left;20
4820;left;20
4838;left;20
4856;left;20
4875;left;20
4893;left;25
4911;left;25
4930;left;25
4947;left;25
4966;left;25
4984;left;25
5002;left;25
5019;left;25
5038;left;25
5056;left;25
5075;left;25
5092;left;25
5110;left;25
5128;left;25
5146;left;25
5164;left;25
5183;left;25
5201;left;25
5221;left;25
5237;left;25
5255;left;25
5273;left;25
5291;left;25
5309;left;25
5327;left;25
5344;left;25
5362;left;25
5383;left;25
5401;left;25
5419;left;30
5437;left;30
5456;left;30
5473;left;30
5492;left;30
5510;left;30
5528;left;30
5547;left;30
5564;left;30
5583;left;30
5601;left;30
5618;left;30
5638;left;30
5655;left;30
5670;left;30
5688;left;30
5708;left;30
5727;left;30
5744;left;30
5762;left;30
5781;left;30
5798;left;30
5816;left;30
5835;left;30
5852;left;30
5869;left;30
5887;left;30
5905;left;25
5923;left;25
5942;left;25
5960;left;25
5977;left;25
5995;left;25
6019;left;25
6037;left;25
6054;left;25
6075;left;20
6091;left;20
6109;left;20
6127;left;20
6146;left;20
6163;left;20
6182;left;15
6199;left;15
6218;left;15
6236;left;15
6253;left;15
6271;left;15
6291;left;15
6308;left;15
6327;left;10
6345;left;10
6364;left;10
6378;left;10
6393;left;10
6410;left;10
6429;left;10
6447;left;10
6465;left;10
6486;left;10
6505;left;10
6523;left;10
6541;left;10
6560;left;10
6577;left;10
6595;left;10
6617;left;10
6631;left;10
6650;left;10
6668;left;10
6687;left;15
6700;left;15
6722;left;15
6740;left;15
6757;left;15
6776;left;15
6794;left;15
6812;left;15
6830;left;15
6848;left;15
6866;left;15
6884;left;15
6903;left;15
6917;left;15
6935;left;15
6953;left;15
6972;left;15
6990;left;15
7008;left;15
7026;left;15
