timestamp,hand,angle
2,Left,0
21,Left,0
39,Left,0
56,Left,0
74,Left,0
93,Left,0
111,Left,0
128,Left,0
147,Left,0
165,Left,0
183,Left,0
204,Left,0
221,Left,0
239,Left,0
258,Left,0
276,Left,0
293,Left,0
312,Left,0
330,Left,0
346,Left,0
364,Left,0
382,Left,0
400,Left,0
418,Left,0
437,Left,0
455,Left,0
475,Left,0
493,Left,0
512,Left,0
528,Left,0
545,Left,0
563,Left,5
581,Left,5
599,Left,5
617,Left,5
636,Left,10
656,Left,10
674,Left,15
693,Left,15
710,Left,15
728,Left,20
747,Left,20
762,Left,20
780,Left,25
798,Left,25
815,Left,25
834,Left,25
852,Left,25
870,Left,25
891,Left,25
908,Left,25
927,Left,25
944,Left,25
963,Left,25
979,Left,25
996,Left,25
1015,Left,30
1033,Left,30
1051,Left,30
1069,Left,30
1087,Left,30
1106,Left,30
1123,Left,30
1142,Left,30
1159,Left,30
1177,Left,30
1195,Left,30
1214,Left,30
1232,Left,30
1250,Left,30
1270,Left,30
1290,Left,30
1308,Left,30
1327,Left,30
1342,Left,25
1359,Left,25
1376,Left,25
1394,Left,25
1412,Left,25
1434,Left,25
1453,Left,25
1471,Left,25
1488,Left,30
1508,Left,30
1525,Left,30
1541,Left,30
1560,Left,30
1575,Left,30
1593,Left,30
1611,Left,30
1629,Left,30
1647,Left,30
1665,Left,30
1683,Left,30
1701,Left,30
1720,Left,30
1738,Left,30
1756,Left,30
1774,Left,30
1791,Left,30
1810,Left,30
1828,Left,30
1846,Left,30
1864,Left,30
1882,Left,30
1900,Left,30
1919,Left,30
1937,Left,30
1955,Left,30
1973,Left,30
1991,Left,30
2009,Left,30
2027,Left,30
2045,Left,30
2064,Left,30
2081,Left,30
2099,Left,30
2117,Left,30
2136,Left,30
2155,Left,30
2172,Left,30
2189,Left,30
2208,Left,30
2226,Left,30
2244,Left,30
2262,Left,30
2280,Left,30
2298,Left,30
2316,Left,30
2337,Left,30
2356,Left,30
2374,Left,30
2389,Left,30
2407,Left,30
2425,Left,30
2443,Left,30
2461,Left,30
2479,Left,30
2497,Left,30
2517,Left,30
2534,Left,30
2553,Left,30
2571,Left,30
2588,Left,30
2606,Left,30
2623,Left,30
2641,Left,30
2659,Left,30
2678,Left,30
2695,Left,30
2714,Left,30
2732,Left,30
2749,Left,30
2768,Left,30
2787,Left,30
2804,Left,30
2822,Left,30
2841,Left,30
2860,Left,30
2878,Left,30
2896,Left,30
2916,Left,30
2932,Left,30
2951,Left,30
2970,Left,30
2989,Left,30
3006,Left,30
3021,Left,30
3039,Left,30
3057,Left,30
3075,Left,30
3093,Left,30
3111,Left,30
3132,Left,30
3150,Left,30
3166,Left,30
3185,Left,30
3203,Left,30
3221,Left,30
3238,Left,30
3256,Left,30
3274,Left,30
3295,Left,30
3310,Left,30
3328,Left,30
3346,Left,30
3365,Left,30
3384,Left,30
3404,Left,30
3422,Left,30
3440,Left,30
3457,Left,30
3475,Left,30
3493,Left,30
3511,Left,30
3530,Left,30
3548,Left,30
3566,Left,30
3584,Left,30
3602,Left,30
3621,Left,30
3640,Left,30
3657,Left,30
3676,Left,30
3692,Left,30
3708,Left,30
3726,Left,30
3744,Left,30
3762,Left,30
3780,Left,30
3799,Left,30
3816,Left,30
3835,Left,30
3853,Left,30
3872,Left,30
3889,Left,30
3907,Left,30
3925,Left,30
3943,Left,30
3961,Left,30
3982,Left,30
4000,Left,30
4019,Left,30
4039,Left,30
4056,Left,30
4071,Left,30
4090,Left,30
4107,Left,30
4123,Left,30
4142,Left,30
4160,Left,30
4179,Left,30
4198,Left,30
4217,Left,30
4235,Left,30
4251,Left,30
4269,Left,30
4287,Left,30
4305,Left,30
4322,Left,30
4341,Left,30
4359,Left,30
4376,Left,30
4397,Left,30
4416,Left,30
4435,Left,30
4451,Left,30
4467,Left,30
4486,Left,30
4504,Left,30
4522,Left,30
4540,Left,30
4559,Left,30
4576,Left,30
4595,Left,30
4612,Left,30
4631,Left,30
4648,Left,30
4667,Left,30
4685,Left,30
4703,Left,30
4721,Left,30
4739,Left,30
4757,Left,30
4775,Left,30
4793,Left,30
4812,Left,30
4831,Left,30
4848,Left,30
4866,Left,30
4884,Left,30
4901,Left,30
4920,Left,30
4939,Left,30
4956,Left,30
4974,Left,30
4994,Left,30
5012,Left,30
5031,Left,30
5049,Left,30
5068,Left,30
5083,Left,30
5101,Left,30
5119,Left,30
5137,Left,30
5156,Left,30
5172,Left,30
5190,Left,30
5208,Left,30
5227,Left,30
5247,Left,30
5265,Left,30
5285,Left,30
5299,Left,30
5317,Left,30
5336,Left,30
5353,Left,30
5372,Left,30
5390,Left,30
5408,Left,30
5426,Left,30
5444,Left,30
5462,Left,30
5481,Left,30
5498,Left,30
5516,Left,30
5534,Left,30
5552,Left,30
5571,Left,30
5588,Left,30
5606,Left,30
5624,Left,30
5643,Left,30
5660,Left,30
5679,Left,30
5697,Left,30
5715,Left,30
5734,Left,30
5751,Left,30
5770,Left,30
5788,Left,30
5805,Left,30
5824,Left,30
5841,Left,30
5859,Left,30
5877,Left,30
5896,Left,30
5914,Left,30
5931,Left,30
5952,Left,30
5970,Left,30
5986,Left,30
6004,Left,30
6023,Left,30
6040,Left,30
6059,Left,30
6077,Left,30
6094,Left,30
6113,Left,30
6132,Left,30
6149,Left,30
6167,Left,30
6186,Left,30
6204,Left,30
6221,Left,30
6239,Left,30
6257,Left,30
6275,Left,30
6294,Left,30
6311,Left,30
6330,Left,30
6347,Left,30
6366,Left,30
6383,Left,30
6402,Left,30
6420,Left,30
6438,Left,30
6456,Left,30
6476,Left,30
6494,Left,30
6512,Left,30
6531,Left,30
6549,Left,30
6565,Left,30
6583,Left,30
6601,Left,30
6621,Left,30
6637,Left,30
6656,Left,30
6674,Left,30
6709,Left,30
6727,Left,30
6745,Left,30
6763,Left,30
6781,Left,30
6799,Left,30
6817,Left,30
6835,Left,30
6854,Left,30
6873,Left,30
6890,Left,30
6908,Left,30
6929,Left,30
6945,Left,30
6962,Left,30
6981,Left,30
6998,Left,30
7016,Left,30
7034,Left,30
7053,Left,30
7071,Left,30
7088,Left,30
