timestamp,hand,angle
77,left,10
94,left,10
115,left,10
133,left,10
152,left,10
171,left,10
188,left,10
206,left,10
224,left,10
242,left,10
260,left,10
278,left,10
296,left,10
314,left,10
331,left,10
347,left,10
365,left,10
384,left,10
402,left,10
420,left,10
438,left,10
455,left,10
474,left,10
492,left,10
510,left,10
528,left,10
547,left,10
564,left,10
582,left,10
599,left,10
618,left,10
635,left,10
654,left,10
671,left,10
689,left,10
708,left,10
725,left,10
744,left,10
765,left,10
785,left,10
802,left,10
821,left,10
839,left,10
858,left,10
875,left,10
894,left,10
911,left,10
929,left,10
947,left,10
965,left,15
983,left,15
1002,left,15
1020,left,15
1041,left,15
1057,left,15
1070,left,15
1088,left,15
1106,left,20
1123,left,20
1142,left,20
1160,left,20
1178,left,20
1197,left,25
1215,left,25
1233,left,25
1251,left,25
1269,left,25
1287,left,25
1309,left,25
1329,left,25
1346,left,25
1364,left,25
1382,left,30
1405,left,30
1419,left,30
1437,left,30
1455,left,30
1472,left,30
1487,left,30
1505,left,30
1523,left,30
1542,left,30
1560,left,30
1577,left,30
1596,left,30
1614,left,30
1633,left,30
1650,left,30
1668,left,35
1686,left,35
1706,left,35
1722,left,35
1740,left,35
1759,left,35
1776,left,35
1794,left,35
1812,left,35
1831,left,35
1848,left,35
1867,left,35
1885,left,35
1903,left,35
1921,left,35
1939,left,35
1957,left,30
1975,left,30
2004,left,30
2019,left,35
2031,left,35
2049,left,35
2068,left,35
2086,left,35
2103,left,35
2119,left,35
2137,left,35
2155,left,35
2176,left,35
2194,left,35
2213,left,35
2230,left,35
2249,left,35
2268,left,35
2284,left,30
2302,left,30
2321,left,30
2340,left,30
2354,left,30
2371,left,30
2427,left,35
2443,left,35
2461,left,35
2480,left,35
2498,left,35
2516,left,35
2537,left,35
2556,left,35
2574,left,35
2592,left,35
2609,left,35
2625,left,35
2643,left,35
2661,left,35
2679,left,35
2698,left,35
2716,left,35
2734,left,35
2753,left,35
2770,left,35
2788,left,35
2806,left,35
2824,left,35
2842,left,35
2861,left,35
2883,left,35
2901,left,35
2919,left,35
2939,left,35
2952,left,35
2969,left,35
2987,left,35
3005,left,35
3023,left,35
3041,left,35
3060,left,35
3077,left,35
3096,left,35
3114,left,35
3135,left,35
3154,left,35
3173,left,35
3187,left,35
3202,left,35
3221,left,35
3239,left,35
3257,left,35
3275,left,35
3294,left,35
3314,left,35
3333,left,35
3352,left,35
3373,left,40
3384,left,35
3403,left,35
3420,left,35
3438,left,35
3455,left,35
3474,left,35
3492,left,35
3510,left,35
3529,left,35
3547,left,35
3566,left,35
3586,left,35
3603,left,35
3621,left,35
3640,left,35
3658,left,35
3675,left,35
3693,left,35
3711,left,35
3731,left,35
3748,left,35
3766,left,35
3784,left,35
3802,left,35
3820,left,35
3838,left,35
3856,left,35
3874,left,35
3893,left,35
3910,left,35
3928,left,35
3948,left,35
3965,left,35
3984,left,35
4001,left,35
4017,left,35
4034,left,35
4052,left,35
4070,left,35
4089,left,35
4112,left,35
4131,left,35
4150,left,35
4167,left,35
4189,left,35
4202,left,35
4217,left,35
4235,left,35
4251,left,35
4269,left,35
4287,left,35
4309,left,35
4327,left,35
4344,left,35
4363,left,35
4383,left,35
4397,left,35
4415,left,35
4432,left,35
4451,left,35
4471,left,35
4490,left,35
4507,left,35
4527,left,35
4544,left,35
4562,left,35
4580,left,35
4606,left,35
4618,left,35
4634,left,35
4653,left,35
4670,left,35
4688,left,35
4706,left,35
4724,left,35
4743,left,35
4758,left,35
4776,left,35
4795,left,35
4815,left,35
4835,left,35
4853,left,35
4871,left,35
4888,left,35
4907,left,35
4924,left,35
4943,left,35
4962,left,35
4979,left,35
4997,left,35
5015,left,35
5034,left,35
5052,left,35
5071,left,35
5087,left,35
5106,left,35
5124,left,35
5142,left,35
5161,left,35
5178,left,35
5197,left,35
5215,left,35
5234,left,35
5251,left,35
5266,left,35
5287,left,35
5300,left,35
5318,left,35
5335,left,35
5357,left,35
5375,left,35
5395,left,35
5411,left,35
5427,left,35
5445,left,35
5464,left,35
5482,left,35
5500,left,35
5517,left,35
5536,left,35
5554,left,35
5572,left,35
5590,left,35
5608,left,35
5626,left,35
5644,left,35
5663,left,35
5680,left,35
5698,left,35
5716,left,35
5734,left,35
5753,left,35
5771,left,35
5788,left,35
5807,left,35
5825,left,35
5843,left,35
5861,left,35
5880,left,35
5897,left,35
5915,left,35
5933,left,35
5951,left,35
5969,left,35
5988,left,35
6005,left,35
6023,left,35
6042,left,35
6060,left,35
6078,left,35
6098,left,35
6114,left,35
6132,left,35
6150,left,40
6171,left,40
6189,left,35
6207,left,35
6225,left,35
6244,left,35
6262,left,35
6280,left,35
6298,left,35
6316,left,35
6335,left,35
6348,left,40
6367,left,35
6384,left,40
6405,left,35
6424,left,40
6442,left,35
6461,left,35
6478,left,35
6496,left,35
6514,left,35
6533,left,35
6551,left,35
6570,left,35
6584,left,35
6602,left,35
6622,left,35
6641,left,35
6659,left,35
6677,left,35
6695,left,35
6713,left,35
6732,left,35
6749,left,35
6768,left,35
6786,left,35
6802,left,35
6819,left,35
6837,left,35
6858,left,35
6876,left,35
6900,left,35
6912,left,35
6931,left,35
6945,left,35
6964,left,35
6982,left,35
7000,left,35
7018,left,35
7038,left,35
