timestamp,hand,angle
1,Left,5
17,Left,5
36,Left,5
54,Left,5
71,Left,5
89,Left,5
108,Left,5
125,Left,5
143,Left,5
162,Left,5
180,Left,5
198,Left,5
216,Left,5
234,Left,5
253,Left,5
270,Left,5
288,Left,0
306,Left,0
324,Left,0
343,Left,0
360,Left,0
379,Left,0
397,Left,0
415,Left,0
433,Left,0
451,Left,0
470,Left,5
487,Left,5
505,Left,0
527,Left,0
544,Left,0
563,Left,0
581,Left,0
599,Left,0
618,Left,0
635,Left,0
653,Left,0
672,Left,0
687,Left,0
704,Left,0
722,Left,0
743,Left,5
761,Left,5
780,Left,5
797,Left,5
814,Left,5
833,Left,10
850,Left,10
867,Left,10
884,Left,15
903,Left,15
921,Left,15
939,Left,15
957,Left,20
976,Left,20
994,Left,20
1014,Left,20
1031,Left,25
1051,Left,25
1067,Left,25
1084,Left,25
1102,Left,25
1120,Left,25
1138,Left,30
1156,Left,30
1174,Left,30
1192,Left,30
1211,Left,30
1231,Left,30
1250,Left,30
1268,Left,30
1283,Left,30
1301,Left,30
1319,Left,30
1339,Left,30
1358,Left,30
1377,Left,30
1393,Left,30
1409,Left,30
1427,Left,30
1446,Left,30
1464,Left,30
1481,Left,30
1499,Left,30
1517,Left,30
1535,Left,30
1554,Left,30
1572,Left,30
1590,Left,30
1609,Left,30
1627,Left,30
1645,Left,35
1663,Left,35
1681,Left,35
1699,Left,35
1717,Left,35
1735,Left,35
1753,Left,40
1771,Left,40
1790,Left,40
1808,Left,40
1826,Left,40
1843,Left,40
1863,Left,40
1880,Left,40
1899,Left,40
1916,Left,40
1934,Left,40
1952,Left,40
1970,Left,40
1988,Left,40
2007,Left,40
2025,Left,40
2042,Left,40
2060,Left,40
2080,Left,40
2097,Left,40
2115,Left,40
2134,Left,40
2151,Left,40
2169,Left,40
2187,Left,40
2205,Left,40
2224,Left,40
2241,Left,40
2259,Left,40
2277,Left,40
2295,Left,40
2314,Left,40
2332,Left,40
2350,Left,40
2368,Left,40
2386,Left,40
2404,Left,40
2422,Left,40
2440,Left,40
2458,Left,40
2476,Left,40
2495,Left,40
2513,Left,40
2531,Left,40
2549,Left,40
2606,Left,40
2681,Left,60
2699,Left,60
2714,Left,55
2749,Left,50
2766,Left,50
2783,Left,50
2801,Left,45
2819,Left,45
2837,Left,45
2855,Left,45
2873,Left,40
2891,Left,40
2909,Left,40
2927,Left,35
2946,Left,35
2964,Left,35
2982,Left,35
3000,Left,35
3017,Left,35
3036,Left,35
3054,Left,35
3111,Left,35
3128,Left,30
3147,Left,30
3166,Left,30
3184,Left,30
3199,Left,30
3218,Left,30
3235,Left,30
3253,Left,30
3271,Left,30
3289,Left,30
3307,Left,30
3325,Left,30
3343,Left,30
3361,Left,30
3380,Left,30
3398,Left,30
3416,Left,30
3433,Left,30
3452,Left,30
3470,Left,30
3488,Left,30
3506,Left,30
3524,Left,30
3543,Left,25
3560,Left,30
3579,Left,30
3597,Left,30
3615,Left,30
3632,Left,30
3650,Left,30
3669,Left,30
3687,Left,30
3704,Left,25
3723,Left,25
3741,Left,25
3759,Left,25
3777,Left,25
3795,Left,25
3814,Left,25
3833,Left,25
3850,Left,25
3867,Left,25
3886,Left,25
3903,Left,25
3924,Left,25
3943,Left,25
3994,Left,25
4012,Left,20
4030,Left,20
4048,Left,20
4066,Left,20
4084,Left,20
4105,Left,20
4123,Left,20
4143,Left,20
4158,Left,20
4176,Left,20
4193,Left,20
4212,Left,20
4229,Left,20
4249,Left,20
4266,Left,20
4283,Left,20
4301,Left,20
4319,Left,20
4337,Left,20
4356,Left,20
4374,Left,20
4392,Left,20
4410,Left,20
4428,Left,20
