timestamp,hand,angle
87,left,5
97,left,5
115,left,10
133,left,10
151,left,10
171,left,5
187,left,5
205,left,5
223,left,5
242,left,5
259,left,5
277,left,5
296,left,5
314,left,5
332,left,10
350,left,10
368,left,5
386,left,5
404,left,5
422,left,10
440,left,10
458,left,10
476,left,10
494,left,10
513,left,10
531,left,10
551,left,10
565,left,10
583,left,10
601,left,10
623,left,15
641,left,15
660,left,15
677,left,15
695,left,15
714,left,20
731,left,20
747,left,20
773,left,20
791,left,25
803,left,25
821,left,25
840,left,25
858,left,25
875,left,30
891,left,30
909,left,30
928,left,30
945,left,30
964,left,30
982,left,30
1000,left,30
1018,left,30
1041,left,30
1059,left,30
1078,left,30
1097,left,30
1114,left,30
1134,left,30
1150,left,30
1165,left,30
1182,left,30
1200,left,30
1218,left,25
1236,left,30
1254,left,30
1272,left,30
1290,left,30
1309,left,30
1327,left,30
1344,left,30
1363,left,30
1381,left,30
1402,left,35
1417,left,35
1435,left,35
1453,left,35
1471,left,35
1489,left,35
1507,left,35
1525,left,35
1544,left,35
1561,left,35
1580,left,35
1599,left,35
1613,left,35
1632,left,35
1649,left,35
1671,left,30
1689,left,30
1707,left,30
1725,left,35
1743,left,35
1762,left,35
1780,left,35
1798,left,35
1816,left,35
1834,left,35
1852,left,35
1870,left,35
1889,left,40
1906,left,40
1924,left,40
1942,left,40
1960,left,40
1981,left,40
1995,left,40
2012,left,40
2032,left,40
2049,left,40
2066,left,35
2084,left,35
2102,left,35
2120,left,35
2139,left,35
2159,left,35
2177,left,35
2196,left,35
2213,left,35
2232,left,35
2251,left,35
2268,left,35
2287,left,35
2304,left,35
2322,left,35
2340,left,35
2358,left,35
2376,left,35
2395,left,35
2412,left,35
2431,left,35
2449,left,35
2466,left,35
2485,left,35
2503,left,35
2522,left,35
2539,left,35
2557,left,35
2575,left,35
2593,left,35
2611,left,35
2630,left,35
2648,left,35
2663,left,35
2681,left,35
2699,left,35
2717,left,35
2735,left,35
2755,left,35
2771,left,35
2790,left,35
2807,left,30
2826,left,30
2844,left,30
2862,left,30
2880,left,30
2898,left,25
2916,left,25
2935,left,25
2952,left,25
2970,left,25
2988,left,25
3007,left,25
3025,left,25
3042,left,25
3061,left,25
3079,left,25
3098,left,25
3115,left,25
3134,left,25
3151,left,20
3169,left,20
3187,left,20
3206,left,20
3223,left,20
3241,left,20
3260,left,20
3277,left,20
3295,left,20
3314,left,15
3333,left,15
3350,left,15
3368,left,15
3386,left,15
3404,left,10
3422,left,10
3441,left,10
3458,left,10
3477,left,10
3494,left,5
3513,left,5
3531,left,5
3549,left,5
3567,left,5
3590,left,5
3608,left,5
3627,left,5
3645,left,5
3663,left,5
3678,left,5
3694,left,5
3711,left,5
3729,left,5
3748,left,5
3765,left,5
3783,left,5
3802,left,5
3821,left,5
3839,left,5
3857,left,5
3875,left,5
3893,left,5
3911,left,5
3930,left,5
3948,left,5
3966,left,5
3983,left,5
4003,left,5
4021,left,5
4036,left,5
4053,left,5
4072,left,5
4090,left,5
4108,left,5
4130,left,5
4148,left,5
4166,left,10
4184,left,10
4202,left,10
4220,left,10
4239,left,15
4259,left,15
4273,left,15
4290,left,20
4307,left,20
4326,left,20
4343,left,20
4362,left,20
4416,left,25
4440,left,25
4457,left,25
4475,left,25
4493,left,25
4513,left,30
4530,left,30
4550,left,30
4568,left,30
4584,left,30
4603,left,30
4621,left,30
4640,left,30
4657,left,30
4675,left,30
4699,left,30
4725,left,30
4727,left,30
4743,left,30
4759,left,30
4776,left,30
4795,left,30
4816,left,30
4836,left,30
4853,left,30
4871,left,30
4890,left,30
4908,left,30
4925,left,30
4943,left,30
4962,left,30
4982,left,30
4998,left,30
5016,left,30
5034,left,30
5053,left,30
5072,left,30
5088,left,30
5106,left,30
5124,left,30
5143,left,30
5160,left,30
5178,left,30
5197,left,30
5215,left,30
5233,left,30
5252,left,30
5269,left,30
5290,left,30
5305,left,30
5323,left,30
5341,left,30
5360,left,30
5377,left,30
5397,left,30
5414,left,30
5432,left,30
5451,left,25
5468,left,25
5487,left,25
5504,left,25
5522,left,25
5540,left,25
5558,left,20
5576,left,20
5594,left,20
5614,left,20
5631,left,20
5649,left,15
5667,left,15
5686,left,15
5703,left,15
5721,left,15
5739,left,15
5758,left,15
5776,left,15
5794,left,15
5809,left,15
5829,left,15
5845,left,15
5862,left,15
5880,left,15
5897,left,15
5915,left,15
5937,left,15
5956,left,10
5973,left,10
5991,left,10
6010,left,10
6028,left,10
6047,left,10
6065,left,10
6079,left,15
6097,left,15
6115,left,15
6133,left,15
6151,left,15
6169,left,15
6187,left,15
6205,left,15
6226,left,15
6244,left,15
6263,left,15
6281,left,15
6300,left,15
6317,left,15
6337,left,15
6353,left,20
6372,left,20
6389,left,20
6408,left,20
6425,left,20
6444,left,20
6462,left,20
6479,left,20
6498,left,20
6516,left,20
6534,left,20
6552,left,20
6571,left,20
6588,left,20
6606,left,20
6624,left,20
6642,left,20
6660,left,20
6679,left,20
6697,left,20
6715,left,20
6733,left,20
6751,left,20
6770,left,20
6787,left,20
6805,left,20
6823,left,20
6843,left,20
6860,left,20
6878,left,20
6893,left,20
6913,left,20
6929,left,20
6952,left,20
6969,left,20
6984,left,20
7001,left,20
7018,left,20
7038,left,20
7060,left,20
