timestamp,hand,angle
0,Left,10
19,Left,10
36,Left,10
55,Left,10
72,Left,10
90,Left,10
109,Left,10
126,Left,10
144,Left,10
163,Left,10
180,Left,10
199,Left,10
217,Left,10
236,Left,10
253,Left,10
271,Left,10
289,Left,10
308,Left,10
326,Left,10
343,Left,10
362,Left,10
379,Left,10
397,Left,10
416,Left,10
434,Left,10
452,Left,10
470,Left,10
488,Left,10
506,Left,10
524,Left,10
542,Left,10
560,Left,10
578,Left,10
596,Left,10
615,Left,10
632,Left,10
651,Left,10
669,Left,10
687,Left,10
705,Left,10
723,Left,10
741,Left,10
759,Left,10
777,Left,10
795,Left,15
813,Left,15
832,Left,15
850,Left,15
869,Left,15
887,Left,15
907,Left,15
923,Left,15
941,Left,15
958,Left,15
976,Left,20
994,Left,20
1012,Left,20
1030,Left,20
1048,Left,20
1066,Left,20
1085,Left,20
1103,Left,20
1123,Left,20
1139,Left,20
1157,Left,20
1175,Left,20
1194,Left,20
1211,Left,20
1229,Left,20
1247,Left,20
1267,Left,20
1286,Left,20
1304,Left,20
1323,Left,20
1339,Left,20
1356,Left,20
1374,Left,20
1391,Left,20
1411,Left,20
1429,Left,20
1447,Left,20
1464,Left,20
1482,Left,20
1503,Left,25
1522,Left,25
1540,Left,25
1555,Left,25
1573,Left,25
1590,Left,25
1609,Left,25
1627,Left,25
1645,Left,25
1664,Left,25
1681,Left,25
1703,Left,25
1722,Left,25
1737,Left,25
1755,Left,25
1772,Left,25
1789,Left,25
1807,Left,25
1825,Left,25
1844,Left,25
1865,Left,25
1882,Left,25
1900,Left,25
1920,Left,25
1938,Left,25
1953,Left,25
1971,Left,25
1990,Left,25
2006,Left,25
2024,Left,25
2043,Left,25
2061,Left,25
2079,Left,25
2097,Left,25
2116,Left,25
2134,Left,25
2152,Left,25
2170,Left,25
2187,Left,25
2205,Left,25
2223,Left,25
2241,Left,25
2259,Left,25
2277,Left,25
2296,Left,25
2314,Left,25
2331,Left,25
2350,Left,25
2368,Left,25
2386,Left,25
2404,Left,25
2422,Left,25
2440,Left,25
2459,Left,25
2476,Left,25
2494,Left,25
2512,Left,25
2531,Left,25
2549,Left,25
2568,Left,25
2585,Left,25
2603,Left,25
2621,Left,25
2639,Left,30
2657,Left,30
2675,Left,30
2693,Left,30
2711,Left,30
2730,Left,30
2747,Left,30
2766,Left,30
2783,Left,30
2802,Left,30
2820,Left,30
2839,Left,30
2859,Left,30
2877,Left,30
2895,Left,30
2913,Left,30
2931,Left,30
2951,Left,30
2965,Left,30
2983,Left,30
3001,Left,30
3019,Left,30
3038,Left,30
3056,Left,30
3074,Left,30
3092,Left,30
