timestamp,hand,angle
104,left,10
121,left,10
138,left,10
157,left,10
174,left,10
193,left,10
216,left,10
233,left,10
252,left,10
269,left,10
286,left,10
306,left,10
323,left,10
342,left,10
359,left,10
378,left,10
395,left,10
415,left,10
432,left,10
451,left,10
469,left,10
486,left,10
504,left,10
523,left,10
540,left,10
558,left,10
577,left,10
598,left,10
613,left,10
632,left,10
646,left,10
664,left,10
682,left,10
701,left,10
718,left,10
736,left,10
754,left,10
772,left,10
790,left,10
808,left,10
826,left,10
845,left,10
863,left,15
881,left,15
899,left,15
917,left,15
937,left,15
953,left,15
971,left,15
989,left,15
1007,left,15
1025,left,15
1044,left,15
1062,left,15
1079,left,15
1098,left,15
1116,left,15
1135,left,15
1153,left,15
1169,left,20
1186,left,20
1208,left,20
1227,left,20
1245,left,20
1263,left,20
1282,left,20
1300,left,20
1318,left,20
1332,left,20
1350,left,20
1368,left,20
1389,left,20
1407,left,20
1425,left,20
1443,left,20
1461,left,20
1480,left,20
1497,left,20
1514,left,25
1531,left,25
1549,left,25
1568,left,25
1585,left,25
1603,left,25
1624,left,25
1643,left,25
1662,left,25
1678,left,25
1693,left,25
1712,left,25
1731,left,25
1748,left,25
1766,left,25
1788,left,25
1806,left,25
1824,left,25
1843,left,25
1860,left,25
1879,left,25
1897,left,25
1918,left,25
1930,left,25
1947,left,25
1964,left,25
1982,left,25
2000,left,25
2022,left,25
2043,left,25
2059,left,25
2073,left,25
2091,left,25
2110,left,25
2128,left,25
2147,left,25
2164,left,25
2184,left,25
2200,left,25
2218,left,25
2236,left,25
2254,left,25
2272,left,25
2291,left,25
2309,left,25
2327,left,25
2346,left,30
2363,left,30
2382,left,30
2399,left,30
2417,left,30
2435,left,30
2453,left,30
2473,left,30
2489,left,30
2508,left,30
2526,left,30
2544,left,30
2564,left,30
2580,left,30
2598,left,30
2616,left,30
2634,left,30
2652,left,30
2670,left,30
2689,left,30
2706,left,30
2726,left,30
2741,left,30
2761,left,30
2779,left,30
2798,left,30
2815,left,30
2833,left,30
2856,left,30
2875,left,30
2893,left,30
2909,left,30
2924,left,30
2943,left,30
2961,left,30
2979,left,30
2997,left,30
3016,left,30
3033,left,30
3051,left,30
3069,left,30
3087,left,30
3103,left,30
3122,left,30
3139,left,30
3158,left,30
3176,left,30
3194,left,30
3218,left,30
3236,left,30
3254,left,30
3271,left,30
3289,left,30
3308,left,30
3326,left,30
3347,left,30
3359,left,30
3377,left,30
3395,left,30
3414,left,30
3429,left,30
3446,left,30
3464,left,30
3482,left,30
3501,left,30
3520,left,30
3537,left,30
3555,left,30
3572,left,30
3591,left,30
3610,left,30
3629,left,30
3650,left,30
3667,left,30
3685,left,30
3703,left,30
3721,left,30
3739,left,30
3758,left,30
3809,left,30
3827,left,30
3845,left,30
3863,left,30
3881,left,30
3899,left,30
3917,left,30
3935,left,30
3953,left,30
3971,left,30
3990,left,30
4008,left,30
4026,left,30
4044,left,30
4062,left,30
4083,left,30
4098,left,30
4116,left,30
4134,left,30
4152,left,30
4174,left,30
4194,left,30
4207,left,30
4225,left,30
4243,left,30
4268,left,30
4285,left,30
4299,left,30
4318,left,30
4335,left,30
4354,left,30
4371,left,30
4390,left,30
4407,left,30
4426,left,30
4446,left,30
4462,left,30
4481,left,30
4499,left,30
4517,left,30
4532,left,30
4550,left,30
4569,left,30
4586,left,30
4611,left,30
4623,left,30
4642,left,30
4660,left,30
4678,left,30
4697,left,30
4714,left,30
4733,left,30
4752,left,30
4768,left,30
4786,left,30
4805,left,30
4823,left,30
4838,left,30
4857,left,30
4875,left,30
4895,left,30
4913,left,30
4932,left,30
4949,left,30
4968,left,30
4985,left,30
5004,left,30
5021,left,30
5040,left,30
5057,left,30
5076,left,30
5094,left,30
5112,left,30
5130,left,30
5149,left,30
5166,left,30
5184,left,30
5202,left,30
5220,left,30
5236,left,30
5257,left,30
5274,left,30
5292,left,30
5313,left,30
5329,left,30
5346,left,30
5365,left,30
5383,left,30
5401,left,30
5419,left,30
5438,left,30
5455,left,30
5473,left,30
5491,left,30
5511,left,30
5527,left,30
5549,left,30
5564,left,30
5582,left,30
5600,left,30
5618,left,30
5636,left,30
5654,left,30
5672,left,30
5690,left,30
5708,left,30
5727,left,30
5745,left,30
5763,left,30
5781,left,30
5799,left,30
5817,left,30
5835,left,30
5853,left,30
5871,left,30
5887,left,30
5905,left,30
5923,left,30
5945,left,30
5966,left,30
5986,left,30
6000,left,30
6018,left,30
6034,left,30
6053,left,30
6070,left,30
6090,left,30
6108,left,30
6122,left,30
6140,left,30
6158,left,30
6177,left,30
6197,left,30
6216,left,30
6234,left,30
6249,left,30
6267,left,30
6285,left,30
6303,left,30
6322,left,30
6340,left,30
6359,left,30
6381,left,30
6398,left,30
6418,left,30
6434,left,30
6453,left,30
6469,left,30
6489,left,30
6506,left,30
6525,left,30
6542,left,30
6563,left,30
6575,left,30
6594,left,30
6611,left,30
6633,left,30
6651,left,30
6671,left,30
6688,left,30
6706,left,30
6724,left,30
6742,left,30
6757,left,30
6775,left,30
6793,left,30
6811,left,30
6830,left,30
6847,left,30
6865,left,30
6883,left,30
6901,left,30
6921,left,30
6936,left,30
6953,left,30
6971,left,30
6989,left,35
7007,left,30
7025,left,30
7044,left,35
7065,left,30
