timestamp,hand,angle
10,Left,15
28,Left,15
46,Left,15
64,Left,15
95,Left,15
112,Left,15
119,Left,15
137,Left,15
154,Left,15
173,Left,15
191,Left,15
208,Left,15
226,Left,15
245,Left,15
263,Left,15
281,Left,15
300,Left,15
317,Left,15
336,Left,15
355,Left,20
375,Left,20
390,Left,20
408,Left,20
425,Left,20
445,Left,20
464,Left,25
482,Left,25
500,Left,25
519,Left,25
535,Left,25
553,Left,25
571,Left,25
589,Left,30
607,Left,30
625,Left,30
644,Left,30
661,Left,30
679,Left,30
697,Left,30
716,Left,30
734,Left,30
753,Left,30
770,Left,30
787,Left,30
806,Left,35
824,Left,35
842,Left,35
860,Left,35
879,Left,35
897,Left,35
915,Left,35
933,Left,35
952,Left,35
970,Left,40
987,Left,40
1005,Left,40
1023,Left,40
1041,Left,40
1058,Left,45
1077,Left,45
1095,Left,45
1113,Left,45
1131,Left,45
1149,Left,45
1166,Left,45
1185,Left,45
1203,Left,45
1221,Left,45
1239,Left,50
1259,Left,50
1277,Left,50
1295,Left,50
1314,Left,50
1332,Left,50
1352,Left,55
1370,Left,55
1384,Left,55
1402,Left,55
1421,Left,60
1439,Left,60
1456,Left,60
1474,Left,60
1492,Left,60
1510,Left,65
1529,Left,65
1547,Left,65
1564,Left,65
1582,Left,65
1601,Left,65
1619,Left,65
1638,Left,65
1655,Left,65
1673,Left,65
1691,Left,65
1709,Left,65
1727,Left,65
1748,Left,65
1766,Left,65
1785,Left,65
1800,Left,65
1819,Left,65
1836,Left,65
1854,Left,65
1872,Left,65
1890,Left,65
1909,Left,65
1926,Left,65
1945,Left,65
1963,Left,65
1981,Left,65
1999,Left,65
2017,Left,65
2035,Left,65
2053,Left,65
2071,Left,60
2089,Left,60
2108,Left,60
2126,Left,60
2144,Left,60
2161,Left,60
2179,Left,60
2197,Left,60
2216,Left,60
2234,Left,65
2252,Left,65
2270,Left,65
2290,Left,65
2308,Left,65
2326,Left,65
2344,Left,65
2362,Left,65
2381,Left,65
2397,Left,65
2415,Left,65
2432,Left,65
2452,Left,65
2473,Left,65
2487,Left,65
2505,Left,65
2522,Left,65
2540,Left,65
2558,Left,65
2576,Left,65
2596,Left,65
2613,Left,65
2631,Left,65
2649,Left,65
2667,Left,65
2685,Left,65
2704,Left,65
2723,Left,65
2778,Left,65
2798,Left,65
2815,Left,65
2833,Left,65
2849,Left,60
2867,Left,60
2885,Left,60
2903,Left,60
2923,Left,60
2940,Left,60
2957,Left,60
2975,Left,60
2993,Left,60
3012,Left,60
3029,Left,60
3048,Left,60
3066,Left,60
3083,Left,60
3102,Left,60
3119,Left,60
3137,Left,60
3155,Left,60
3174,Left,60
3191,Left,65
3210,Left,65
3228,Left,65
3245,Left,65
3264,Left,65
3282,Left,65
3301,Left,65
3318,Left,65
3336,Left,65
3357,Left,65
3376,Left,65
3394,Left,65
3412,Left,65
3430,Left,65
3449,Left,65
3467,Left,60
3482,Left,60
3500,Left,60
3518,Left,60
3536,Left,60
3555,Left,60
3572,Left,60
3590,Left,60
3607,Left,60
3627,Left,60
3644,Left,60
3663,Left,60
3681,Left,60
3698,Left,60
3717,Left,60
3735,Left,60
3753,Left,60
3771,Left,60
3790,Left,60
3807,Left,60
3825,Left,60
3844,Left,60
3862,Left,60
3880,Left,60
3897,Left,60
3915,Left,60
3932,Left,60
3951,Left,60
3971,Left,60
3990,Left,60
4008,Left,60
4025,Left,60
4043,Left,60
4062,Left,60
4079,Left,60
4096,Left,60
4114,Left,60
4131,Left,60
4150,Left,60
4168,Left,60
4186,Left,60
4204,Left,60
4222,Left,60
4240,Left,60
4258,Left,60
4276,Left,60
4294,Left,60
4312,Left,60
4331,Left,60
4348,Left,60
4366,Left,60
4385,Left,60
4406,Left,60
4423,Left,60
4442,Left,60
4460,Left,60
4478,Left,60
4495,Left,60
4516,Left,60
4531,Left,60
4548,Left,65
4566,Left,65
4585,Left,65
4603,Left,65
4621,Left,65
4639,Left,65
4656,Left,65
4674,Left,65
4693,Left,65
4711,Left,65
4729,Left,65
4747,Left,65
4766,Left,65
4784,Left,65
4801,Left,65
4820,Left,65
4837,Left,65
4856,Left,65
4873,Left,65
4892,Left,65
4910,Left,65
4928,Left,65
4946,Left,65
4964,Left,65
4981,Left,65
5000,Left,65
5018,Left,65
5038,Left,65
5056,Left,65
5072,Left,65
5090,Left,65
5108,Left,65
5127,Left,65
5145,Left,65
5162,Left,65
5180,Left,65
5198,Left,65
5216,Left,65
5235,Left,65
5254,Left,65
5272,Left,65
5288,Left,65
5307,Left,65
5324,Left,65
5343,Left,65
5361,Left,65
5378,Left,65
5397,Left,65
5415,Left,65
5433,Left,65
5451,Left,65
5470,Left,65
5487,Left,65
5505,Left,65
5523,Left,65
5541,Left,65
5560,Left,60
5578,Left,60
5596,Left,60
5613,Left,60
5631,Left,60
5650,Left,60
5668,Left,60
5687,Left,60
5704,Left,60
5724,Left,60
5743,Left,60
5761,Left,60
5780,Left,60
5796,Left,60
5813,Left,60
5831,Left,60
5850,Left,60
5868,Left,60
5886,Left,60
5904,Left,60
5923,Left,60
5939,Left,60
5958,Left,60
5976,Left,60
5994,Left,60
6012,Left,60
6029,Left,60
6049,Left,60
6066,Left,60
6085,Left,60
6103,Left,60
6121,Left,60
6139,Left,60
6157,Left,60
6175,Left,60
6192,Left,60
6210,Left,60
6229,Left,60
6246,Left,60
6266,Left,60
6283,Left,60
6302,Left,60
6320,Left,60
6338,Left,60
6355,Left,65
6373,Left,65
6391,Left,65
6408,Left,65
6428,Left,65
6446,Left,65
6464,Left,60
6482,Left,60
6500,Left,60
6518,Left,65
6536,Left,65
6554,Left,60
6572,Left,60
6590,Left,60
6609,Left,60
6627,Left,60
6644,Left,60
6699,Left,60
6717,Left,60
6736,Left,60
6754,Left,60
6771,Left,60
6789,Left,60
6808,Left,60
6826,Left,60
6843,Left,60
6861,Left,60
6880,Left,60
6898,Left,60
6916,Left,60
6934,Left,60
6953,Left,60
6970,Left,60
6989,Left,60
7006,Left,60
7024,Left,60
7043,Left,60
7060,Left,60
7078,Left,60
7096,Left,60
7114,Left,60
7132,Left,60
7151,Left,60
7169,Left,60
7187,Left,60
7206,Left,60
7223,Left,60
