timestamp,hand,angle
95,left,15
110,left,15
128,left,15
148,left,15
164,left,15
180,left,15
201,left,15
220,left,15
241,left,15
256,left,15
271,left,15
288,left,15
307,left,15
327,left,15
342,left,15
360,left,15
378,left,15
396,left,15
414,left,15
434,left,15
451,left,15
469,left,15
487,left,15
505,left,15
523,left,15
541,left,15
559,left,20
577,left,20
595,left,20
613,left,20
631,left,20
650,left,20
667,left,20
686,left,25
704,left,25
722,left,25
746,left,25
762,left,25
781,left,30
800,left,30
817,left,30
833,left,30
850,left,30
868,left,35
888,left,35
905,left,35
923,left,35
941,left,35
959,left,40
977,left,40
995,left,40
1013,left,45
1032,left,45
1049,left,45
1068,left,50
1085,left,50
1105,left,55
1122,left,55
1140,left,55
1158,left,60
1176,left,60
1194,left,65
1213,left,65
1230,left,65
1248,left,65
1266,left,70
1284,left,70
1303,left,70
1320,left,70
1337,left,70
1355,left,65
1373,left,65
1391,left,65
1409,left,65
1430,left,65
1448,left,65
1468,left,65
1484,left,65
1503,left,65
1520,left,65
1539,left,65
1557,left,65
1575,left,65
1595,left,65
1610,left,65
1629,left,65
1647,left,65
1665,left,65
1682,left,65
1700,left,65
1720,left,65
1738,left,65
1756,left,60
1773,left,60
1792,left,60
1809,left,60
1827,left,60
1846,left,60
1863,left,60
1883,left,60
1901,left,60
1915,left,60
1933,left,60
1951,left,60
1969,left,60
1988,left,60
2006,left,60
2024,left,60
2042,left,60
2060,left,65
2077,left,65
2096,left,65
2114,left,65
2132,left,65
2150,left,65
2168,left,65
2187,left,65
2204,left,65
2222,left,65
2245,left,65
2263,left,65
2280,left,65
2298,left,60
2316,left,60
2334,left,60
2354,left,60
2367,left,60
2386,left,60
2403,left,60
2421,left,60
2440,left,60
2458,left,60
2476,left,60
2494,left,60
2512,left,60
2530,left,60
2548,left,60
2566,left,60
2584,left,60
2602,left,55
2621,left,55
2645,left,55
2663,left,55
2679,left,55
2698,left,50
2715,left,50
2733,left,50
2752,left,50
2770,left,50
2789,left,50
2806,left,50
2825,left,50
2844,left,45
2861,left,45
2879,left,45
2897,left,40
2914,left,40
2933,left,35
2950,left,35
2965,left,35
2983,left,35
3001,left,30
3020,left,30
3039,left,30
3056,left,30
3074,left,30
3090,left,30
3108,left,30
3127,left,30
3148,left,25
3166,left,25
3184,left,25
3202,left,25
3221,left,25
3238,left,25
3258,left,25
3275,left,25
3293,left,25
3311,left,20
3329,left,20
3348,left,20
3364,left,20
3383,left,20
3402,left,20
3416,left,20
3434,left,20
3452,left,20
3470,left,20
3488,left,20
3506,left,20
3524,left,20
3542,left,20
3561,left,20
3578,left,20
3600,left,20
3624,left,20
3637,left,20
3656,left,20
3673,left,20
3692,left,20
3710,left,20
3728,left,20
3745,left,20
3764,left,20
3781,left,15
3799,left,15
3818,left,20
3837,left,20
3855,left,15
3872,left,20
3891,left,20
3908,left,15
3927,left,15
3944,left,15
3959,left,15
3977,left,15
3995,left,15
4013,left,15
4031,left,15
4053,left,15
4072,left,15
4090,left,15
4103,left,15
4121,left,15
4139,left,15
4160,left,15
4179,left,15
4198,left,15
4215,left,15
4233,left,15
4251,left,15
4269,left,15
4289,left,15
4306,left,15
4324,left,15
4341,left,15
4360,left,20
4378,left,20
4396,left,20
4414,left,25
4432,left,25
4451,left,25
4471,left,25
4486,left,25
4502,left,30
4520,left,30
4538,left,30
4556,left,30
4575,left,30
4592,left,35
4613,left,35
4631,left,35
4649,left,40
4669,left,40
4687,left,40
4700,left,40
4718,left,40
4737,left,45
4754,left,45
4772,left,45
4790,left,45
4808,left,50
4826,left,50
4844,left,50
4863,left,50
4880,left,50
4898,left,55
4917,left,55
4936,left,55
4953,left,55
4970,left,55
4988,left,55
5006,left,55
5024,left,55
5045,left,55
5063,left,55
5081,left,55
5099,left,55
5117,left,55
5136,left,55
5154,left,55
5172,left,55
5191,left,55
5208,left,55
5226,left,55
5244,left,55
5264,left,55
5281,left,55
5298,left,55
5316,left,60
5334,left,60
5353,left,60
5371,left,60
5388,left,60
5407,left,60
5425,left,60
5442,left,60
5466,left,60
5479,left,60
5497,left,65
5515,left,65
5533,left,65
5552,left,65
5567,left,65
5586,left,65
5604,left,65
5622,left,65
5639,left,65
5661,left,65
5680,left,65
5699,left,65
5716,left,65
5734,left,65
5749,left,65
5767,left,65
5786,left,65
5804,left,65
5822,left,65
5839,left,65
5857,left,65
5876,left,65
5894,left,65
5912,left,65
5930,left,65
5948,left,65
5966,left,70
5984,left,70
6005,left,70
6020,left,65
6039,left,65
6057,left,65
6075,left,65
6093,left,65
6111,left,65
6129,left,65
6145,left,65
6163,left,65
6183,left,65
6201,left,65
6220,left,60
6238,left,60
6256,left,60
6273,left,60
6292,left,60
6310,left,60
6326,left,55
6344,left,55
6362,left,55
6382,left,55
6401,left,50
6419,left,50
6438,left,50
6455,left,50
6474,left,50
6492,left,50
6510,left,50
6528,left,50
6545,left,45
6565,left,45
6582,left,45
6600,left,45
6616,left,45
6633,left,45
6651,left,45
6670,left,45
6688,left,45
6705,left,45
6723,left,40
6741,left,45
6760,left,45
6778,left,40
6796,left,40
6814,left,40
6832,left,35
6849,left,35
6868,left,35
6888,left,35
6909,left,35
6926,left,30
6944,left,30
6968,left,30
6989,left,25
6998,left,25
7018,left,20
7034,left,20
7049,left,20
7067,left,20
