timestamp,hand,angle
0,Left,10
17,Left,10
35,Left,10
53,Left,10
71,Left,10
90,Left,10
109,Left,10
125,Left,10
144,Left,10
161,Left,10
180,Left,10
199,Left,10
216,Left,10
234,Left,10
252,Left,10
272,Left,10
291,Left,10
309,Left,10
326,Left,10
343,Left,10
362,Left,10
379,Left,10
398,Left,5
415,Left,5
433,Left,5
451,Left,10
469,Left,10
487,Left,10
505,Left,10
523,Left,10
541,Left,10
563,Left,10
580,Left,10
598,Left,15
615,Left,15
636,Left,15
652,Left,15
671,Left,20
687,Left,20
705,Left,20
724,Left,25
741,Left,25
759,Left,25
777,Left,30
795,Left,30
813,Left,35
831,Left,35
849,Left,40
867,Left,40
886,Left,40
904,Left,45
922,Left,45
940,Left,50
957,Left,50
975,Left,55
993,Left,55
1011,Left,60
1030,Left,60
1049,Left,60
1066,Left,60
1085,Left,60
1102,Left,60
1120,Left,60
1138,Left,60
1157,Left,60
1175,Left,65
1193,Left,65
1210,Left,65
1228,Left,65
1247,Left,65
1264,Left,65
1285,Left,65
1302,Left,65
1320,Left,65
1339,Left,65
1357,Left,65
1374,Left,65
1392,Left,65
1409,Left,65
1428,Left,65
1446,Left,65
1464,Left,65
1482,Left,65
1500,Left,65
1517,Left,65
1535,Left,65
1556,Left,65
1575,Left,65
1594,Left,70
1612,Left,70
1629,Left,70
1647,Left,70
1665,Left,70
1683,Left,70
1702,Left,70
1720,Left,70
1738,Left,70
1755,Left,70
1772,Left,70
1790,Left,70
1808,Left,70
1826,Left,70
1844,Left,70
1862,Left,70
1881,Left,70
1898,Left,70
1916,Left,70
1934,Left,70
1953,Left,70
1971,Left,70
1988,Left,70
2005,Left,70
2024,Left,70
2042,Left,70
2060,Left,70
2078,Left,70
2096,Left,70
2115,Left,70
2133,Left,70
2150,Left,70
2168,Left,70
2186,Left,70
2204,Left,70
2223,Left,70
2240,Left,70
2259,Left,70
2278,Left,70
2298,Left,70
2317,Left,70
2333,Left,70
2350,Left,70
2369,Left,70
2386,Left,70
2405,Left,70
2422,Left,70
2439,Left,70
2459,Left,70
2477,Left,70
2495,Left,70
2512,Left,70
2530,Left,70
2548,Left,70
2567,Left,70
2587,Left,65
2605,Left,65
2623,Left,65
2640,Left,65
2659,Left,65
2677,Left,65
2696,Left,65
2713,Left,65
2730,Left,65
2748,Left,65
2766,Left,65
2785,Left,65
2802,Left,65
2820,Left,65
2838,Left,65
2856,Left,65
2874,Left,65
2892,Left,65
2910,Left,65
2930,Left,65
2949,Left,65
2967,Left,70
2985,Left,70
3003,Left,70
3019,Left,70
3037,Left,70
3054,Left,70
3074,Left,70
3091,Left,70
3109,Left,70
3127,Left,70
3145,Left,70
3164,Left,70
3183,Left,70
3200,Left,70
3217,Left,70
3235,Left,70
3253,Left,70
3271,Left,70
3291,Left,65
3309,Left,65
3327,Left,65
3345,Left,65
3363,Left,65
3382,Left,65
3400,Left,65
3419,Left,65
3436,Left,65
3452,Left,65
3472,Left,65
3490,Left,65
3508,Left,65
3526,Left,65
3544,Left,65
3560,Left,65
3578,Left,65
3597,Left,65
3615,Left,65
3633,Left,65
3653,Left,65
3671,Left,65
3689,Left,65
3707,Left,65
3725,Left,65
3743,Left,65
3761,Left,65
3779,Left,65
3798,Left,70
3820,Left,70
3835,Left,70
3853,Left,70
3868,Left,70
3886,Left,70
3904,Left,70
3922,Left,65
3940,Left,65
3961,Left,65
3978,Left,65
3994,Left,65
4013,Left,65
4032,Left,65
4049,Left,65
4067,Left,65
4085,Left,65
4106,Left,65
4123,Left,65
4139,Left,65
4157,Left,65
4175,Left,65
4194,Left,65
4212,Left,65
4231,Left,65
4248,Left,65
4266,Left,65
4284,Left,65
4301,Left,65
