timestamp,hand,angle
97,left,30
105,left,30
123,left,30
143,left,30
167,left,30
184,left,35
197,left,35
215,left,35
233,left,40
251,left,40
269,left,40
286,left,40
305,left,45
322,left,45
340,left,45
358,left,45
379,left,50
397,left,50
415,left,50
434,left,50
451,left,50
469,left,55
487,left,55
505,left,55
524,left,55
542,left,55
560,left,55
579,left,55
596,left,55
611,left,55
629,left,55
650,left,55
668,left,55
686,left,55
705,left,55
722,left,55
741,left,55
760,left,50
777,left,50
794,left,50
813,left,50
831,left,50
849,left,50
867,left,50
885,left,50
903,left,55
921,left,55
939,left,55
958,left,55
976,left,55
994,left,55
1012,left,55
1030,left,55
1047,left,55
1066,left,55
1084,left,55
1102,left,55
1120,left,55
1138,left,55
1157,left,55
1175,left,60
1193,left,60
1212,left,60
1228,left,60
1247,left,60
1265,left,60
1284,left,60
1298,left,60
1316,left,60
1338,left,60
1356,left,60
1371,left,60
1389,left,60
1407,left,60
1425,left,60
1445,left,60
1461,left,60
1479,left,60
1498,left,65
1516,left,65
1534,left,65
1552,left,65
1575,left,65
1595,left,65
1612,left,65
1630,left,65
1648,left,65
1666,left,65
1684,left,65
1701,left,65
1723,left,65
1738,left,65
1751,left,65
1769,left,65
1787,left,65
1805,left,65
1823,left,65
1843,left,65
1861,left,65
1880,left,65
1897,left,65
1913,left,65
1931,left,65
1949,left,65
1968,left,65
1985,left,60
2004,left,60
2022,left,60
2040,left,60
2061,left,60
2083,left,60
2097,left,60
2115,left,60
2133,left,60
2151,left,60
2170,left,60
2187,left,60
2206,left,60
2224,left,60
2243,left,60
2260,left,60
2278,left,60
2296,left,60
2315,left,60
2332,left,60
2350,left,60
2368,left,60
2387,left,60
2405,left,60
2419,left,60
2437,left,60
2455,left,60
2478,left,60
2494,left,60
2510,left,60
2528,left,60
2546,left,60
2564,left,60
2582,left,60
2600,left,65
2619,left,65
2636,left,65
2655,left,65
2673,left,65
2691,left,65
2713,left,65
2731,left,65
2749,left,65
2767,left,65
2785,left,65
2803,left,65
2821,left,65
2844,left,65
2858,left,65
2877,left,65
2895,left,65
2911,left,65
2930,left,65
2947,left,65
2967,left,65
2985,left,65
3002,left,65
3022,left,65
3038,left,65
3058,left,65
3074,left,65
3093,left,65
3110,left,65
3130,left,65
3146,left,65
3165,left,65
3182,left,65
3201,left,65
3218,left,65
3237,left,65
3255,left,65
3274,left,65
3293,left,65
3309,left,65
3323,left,65
3342,left,65
3360,left,65
3378,left,60
3398,left,60
3418,left,60
3441,left,60
3457,left,60
3468,left,60
3486,left,60
3504,left,60
3524,left,60
3541,left,60
3558,left,60
3576,left,60
3594,left,60
3613,left,60
3631,left,60
3649,left,60
3668,left,60
3685,left,60
3704,left,60
3724,left,60
3740,left,60
3758,left,60
3775,left,60
3796,left,60
3814,left,60
3832,left,60
3850,left,60
3868,left,60
3886,left,60
3904,left,60
3922,left,60
3940,left,60
3958,left,60
3976,left,60
3994,left,60
4012,left,60
4031,left,60
4048,left,60
4067,left,60
4084,left,60
4103,left,60
4122,left,60
4139,left,60
4157,left,60
4175,left,60
4194,left,60
4211,left,60
4229,left,65
4248,left,65
4265,left,65
4283,left,65
4301,left,65
4320,left,65
4338,left,65
4356,left,65
4374,left,65
4392,left,65
4410,left,65
4429,left,65
4446,left,65
4464,left,65
4483,left,65
4501,left,65
4517,left,60
4534,left,60
4553,left,60
4574,left,60
4592,left,60
4611,left,60
4630,left,60
4646,left,60
4664,left,60
4683,left,60
4701,left,60
4718,left,60
4737,left,60
4752,left,60
4773,left,60
4789,left,60
4806,left,60
4825,left,60
4843,left,60
4861,left,65
4878,left,65
4897,left,65
4914,left,65
4933,left,65
4951,left,65
4969,left,65
4987,left,65
5005,left,65
5023,left,65
5042,left,65
5060,left,65
5078,left,65
5095,left,65
5114,left,65
5132,left,65
5152,left,65
5168,left,65
5186,left,65
5204,left,65
5223,left,65
5240,left,65
5264,left,65
5280,left,65
5298,left,65
5316,left,65
5335,left,65
5352,left,65
5370,left,65
5384,left,65
5404,left,65
5421,left,65
5444,left,65
5463,left,65
5477,left,65
5495,left,65
5513,left,65
5531,left,65
5549,left,65
5568,left,65
5585,left,65
5601,left,65
5619,left,65
5639,left,65
5656,left,65
5674,left,65
5692,left,65
5710,left,65
5728,left,65
5747,left,65
5764,left,65
5782,left,65
5800,left,65
5818,left,65
5839,left,65
5856,left,65
5876,left,65
5893,left,65
5911,left,65
5928,left,65
5947,left,65
5966,left,65
5983,left,65
6001,left,65
6019,left,65
6037,left,65
6057,left,65
6073,left,65
6092,left,65
6109,left,65
6128,left,65
6145,left,65
6164,left,65
6183,left,65
6198,left,65
6216,left,65
6236,left,65
6255,left,65
6273,left,65
6290,left,65
6308,left,65
6326,left,65
6344,left,65
6363,left,65
6381,left,65
6397,left,65
6415,left,65
6433,left,65
6451,left,65
6470,left,65
6491,left,65
6507,left,65
6526,left,65
6543,left,65
6561,left,65
6579,left,65
6599,left,65
6616,left,65
6634,left,65
6649,left,65
6667,left,65
6685,left,65
6703,left,65
6721,left,65
6744,left,65
6762,left,65
6779,left,65
6795,left,65
6813,left,65
6831,left,65
6852,left,65
6871,left,65
6891,left,65
6907,left,65
6923,left,65
6940,left,65
6959,left,65
6977,left,65
6994,left,65
7012,left,65
7030,left,65
7048,left,65
7067,left,65
